経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.082, 7.9285, 88.0689, -0.3258, -0.4654, 122.77, 107.59
0.373, 7.9285, 93.5830, -0.3844, -0.6040, 122.64, 109.24
4.213, 2.4851, 93.8129, -0.5690, -0.7241, 113.66, 103.54
4.912, 2.2447, 96.1869, -0.2714, -0.7056, 111.44, 110.85
5.547, 8.5786, 90.7176, -0.4721, -0.4721, 123.42, 106.42
6.247, 9.0067, 92.5645, -0.5717, -0.4677, 123.70, 105.67
6.947, 8.6182, 88.9418, -0.4237, -0.4708, 124.07, 106.36
7.548, 6.6920, 87.3618, -0.3305, -0.5665, 121.95, 106.37
8.186, 6.2673, 93.1822, -0.6040, -0.6040, 119.90, 104.08
8.882, 9.4869, 93.6111, -0.5172, -0.5690, 125.53, 107.22
9.486, 8.5464, 89.7566, -0.3793, -0.5216, 124.22, 107.55
10.154, 8.7655, 94.2304, -0.5455, -0.5455, 123.58, 106.86
10.829, 6.7041, 92.0431, -0.5937, -0.4948, 119.71, 104.09
12.094, 5.3593, 90.4385, -0.4889, -0.5378, 118.02, 104.66
12.697, 8.9428, 87.8841, -0.4231, -0.4231, 124.48, 106.00
13.362, 9.1582, 93.3331, -0.6551, -0.4925, 124.21, 104.43
14.002, 8.8828, 91.8232, -0.5467, -0.3976, 122.74, 105.90
14.663, 8.0847, 92.7766, -0.5156, -0.4125, 120.92, 106.78
15.301, 7.7475, 91.6930, -0.4985, -0.4985, 121.79, 106.11
15.971, 9.5152, 92.8536, -0.5690, -0.4655, 124.57, 106.07
16.634, 9.5152, 91.1730, -0.5418, -0.4433, 124.86, 105.69
17.269, 8.3946, 90.9029, -0.3988, -0.4985, 123.20, 107.85
17.912, 5.2610, 92.6609, -0.4677, -0.5717, 117.39, 106.26
18.515, 9.2603, 92.9856, -0.5132, -0.5132, 124.55, 107.03
22.415, 4.9883, 96.1337, -0.2736, -0.7114, 117.03, 111.66
23.021, 7.6524, 95.7602, -0.5246, -0.5771, 121.16, 107.71
23.620, 8.2723, 97.2790, -0.5980, -0.4349, 120.03, 107.77
24.257, 8.1891, 98.7019, -0.6611, -0.3856, 118.77, 107.47
24.924, 8.8967, 96.3940, -0.5699, -0.3626, 120.58, 108.23
25.587, 8.6172, 93.1355, -0.5450, -0.4459, 122.36, 106.47
26.721, 4.1618, 91.7977, -0.4977, -0.3484, 112.54, 105.46
28.670, 9.0810, 96.5708, -0.6163, -0.3922, 121.37, 107.38
29.297, 6.2297, 92.7138, -0.3432, -0.4398, 117.27, 109.49
29.875, 2.3279, 94.1802, -0.5789, -0.6316, 111.97, 103.78
30.565, 9.3783, 98.6780, -0.5699, -0.3420, 120.38, 109.79
32.881, 9.4365, 92.4472, -0.5261, -0.7174, 127.91, 105.90
33.517, 5.9893, 97.6388, -0.7397, -0.5690, 117.42, 104.00
35.382, 9.3101, 95.9609, -0.6745, -0.3632, 121.78, 106.02
36.015, 3.4168, 95.3702, -0.6777, -0.7299, 115.21, 102.57
37.319, 9.0004, 95.1530, -0.4177, -0.5222, 123.14, 110.10
37.885, 9.2390, 100.1198, -0.5810, -0.5229, 122.03, 109.83
38.459, 4.1173, 102.9794, -0.6996, -0.4081, 109.36, 107.80
39.822, 5.8155, 103.6591, -0.4591, -0.6313, 115.07, 112.89
40.932, 7.2368, 101.8831, -0.6611, -0.2755, 114.14, 109.35
43.403, 6.5937, 100.4260, -0.6535, -0.3812, 114.84, 108.12
44.033, 9.0513, 99.9621, -0.6020, -0.3267, 119.09, 109.85
44.668, 6.8538, 97.6223, -0.5771, -0.4197, 116.81, 107.97
45.775, 7.8192, 96.0297, -0.5197, -0.4157, 119.19, 108.51
46.907, 5.8634, 100.2668, -0.6346, -0.2885, 112.14, 108.44
47.507, 7.5529, 99.8001, -0.5464, -0.3825, 116.81, 110.20
48.118, 8.4064, 99.9000, -0.5500, -0.4400, 119.26, 110.29
49.952, 6.7703, 99.0425, -0.4845, -0.5401, 117.56, 110.26
52.392, 7.0195, 99.3542, -0.4934, -0.4934, 117.32, 110.49
52.954, 7.9341, 96.5484, -0.4648, -0.5164, 120.48, 109.64
53.554, 8.8614, 101.3984, -0.5872, -0.4698, 120.08, 110.49
54.123, 6.1386, 100.6944, -0.4950, -0.4400, 114.32, 111.11
56.169, 5.0916, 102.9281, -0.3474, -0.6947, 114.54, 114.26
57.928, 7.1288, 103.8124, -0.5166, -0.5759, 116.99, 112.43
59.036, 3.8013, 101.9571, -0.6611, -0.6611, 112.49, 107.10
