経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.082, 2.6258, 85.3485, 7.4744, 3.0601, 124.70, 93.80
0.373, 2.6258, 85.3485, 7.4744, 3.0601, 124.70, 93.80
4.213, 1.7958, 111.3173, 2.9032, 2.1915, 127.32, 91.01
4.912, 0.8105, 78.2269, 1.7429, 2.2451, 127.32, 91.01
5.547, 0.7631, 100.1669, 1.4259, 1.3958, 125.56, 88.84
6.247, 3.7891, 85.4701, 4.1955, 2.8908, 123.81, 89.38
6.947, 4.3614, 94.0439, 5.5223, 2.7594, 117.42, 86.65
7.548, 3.9985, 85.4701, 4.9144, 2.6328, 118.21, 86.61
8.186, 3.2459, 86.0832, 4.4084, 2.7856, 124.70, 90.37
8.882, 4.3244, 100.1669, 6.1140, 3.2709, 122.43, 90.34
9.486, 2.7274, 93.7500, 7.2723, 2.6916, 120.33, 90.89
10.154, 4.0105, 84.9858, 5.8212, 2.7003, 119.03, 88.22
10.829, 4.5402, 101.1804, 6.0797, 3.0213, 119.01, 88.17
12.094, 2.5463, 91.1854, 7.5213, 2.3521, 117.69, 89.71
12.697, 2.7358, 93.3126, 4.5285, 2.2147, 119.90, 87.77
13.362, 4.0877, 94.9367, 4.6817, 2.9074, 122.25, 88.86
14.002, 4.6744, 99.8336, 5.4032, 2.8375, 117.86, 86.74
14.663, 4.1340, 89.6861, 6.4207, 2.2419, 113.06, 85.26
15.301, 3.3151, 94.9367, 6.1500, 2.2890, 116.74, 87.45
15.971, 4.5802, 89.2857, 5.8226, 2.9117, 118.47, 87.60
16.634, 3.3849, 94.9367, 6.9800, 2.7580, 119.29, 89.74
17.269, 4.1562, 90.3614, 5.4013, 2.1641, 113.44, 84.37
17.912, 4.0575, 89.0208, 5.0498, 2.6965, 119.68, 87.73
18.515, 4.2596, 93.6037, 6.2609, 3.0487, 120.26, 89.23
22.415, 2.1109, 85.5920, 2.7330, 2.8907, 133.37, 94.28
23.021, 2.3834, 89.5522, 3.5255, 3.5720, 137.19, 97.18
23.620, 4.4360, 112.9944, 6.0872, 3.6414, 126.35, 92.65
24.257, 3.4162, 99.0099, 6.5953, 2.7721, 121.79, 91.02
24.924, 3.7005, 100.1669, 6.3378, 2.4222, 117.37, 87.99
25.587, 3.6637, 95.2381, 6.7148, 2.2712, 114.71, 86.75
26.721, 3.1021, 90.2256, 5.7145, 2.4260, 119.52, 88.72
28.670, 3.8022, 84.6262, 6.7027, 2.5935, 118.01, 88.69
29.297, 3.9749, 105.4482, 6.2785, 2.5236, 116.44, 87.15
29.875, 3.2261, 90.3614, 5.0858, 2.4926, 121.26, 89.11
30.565, 4.1133, 94.1915, 6.4419, 3.3503, 124.69, 92.23
32.881, 0.9660, 81.8554, 3.0629, 0.4983, 114.40, 84.00
33.517, 2.1025, 60.0000, 4.3458, 2.5191, 114.40, 84.00
35.382, 1.8915, 94.4882, 2.7512, 1.4178, 120.68, 87.03
36.015, 3.5154, 78.9474, 3.8982, 3.0377, 127.36, 91.34
37.319, 1.0758, 94.9367, 2.1309, 1.9777, 129.66, 91.94
37.885, 3.8776, 81.8554, 4.0612, 2.7916, 124.67, 89.94
38.459, 4.5063, 105.6338, 5.5599, 3.0837, 123.27, 90.47
39.822, 1.1884, 103.2702, 1.9562, 1.5942, 128.14, 91.10
40.932, 2.8156, 100.6711, 7.0805, 3.0507, 126.61, 94.68
43.403, 0.5083, 117.8782, 9.2565, 2.9217, 130.24, 99.99
44.033, 2.4156, 112.1495, 7.4491, 2.5037, 122.05, 92.52
44.668, 3.2458, 99.1736, 6.6742, 2.3372, 118.07, 88.98
45.775, 3.4983, 92.5926, 6.6736, 2.6111, 119.22, 89.49
46.907, 3.9668, 105.6338, 6.1966, 2.6491, 119.63, 89.16
47.507, 2.4639, 112.3596, 5.3421, 1.8001, 118.80, 88.45
48.118, 3.8977, 100.3344, 5.0718, 2.5246, 120.48, 88.52
49.952, 2.4870, 84.7458, 4.7204, 2.4994, 125.91, 91.91
52.392, 2.6813, 78.1250, 4.8031, 2.4416, 117.99, 88.45
52.954, 4.6751, 118.3432, 5.9420, 3.4318, 123.59, 90.77
53.554, 3.3758, 95.2381, 7.0146, 2.8668, 122.81, 92.14
54.123, 3.6690, 106.0071, 6.4441, 2.7582, 121.46, 90.62
56.169, 3.7202, 90.3614, 6.1591, 2.3010, 118.11, 88.43
57.928, 3.4822, 105.8201, 4.5395, 3.6263, 133.92, 96.09
59.036, 0.9448, 55.8140, 5.5225, 1.8053, 153.28, 106.24
