経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.023, 4.7555, 69.7674, 5.0376, 2.1093, 120.92, 84.04
1.554, 3.0083, 82.0793, 7.6451, 1.3604, 95.91, 59.78
3.162, 4.2007, 74.1656, 6.8770, 1.7407, 112.28, 73.89
3.990, 3.6094, 76.1421, 7.4543, 1.5532, 105.14, 66.83
4.794, 4.3477, 74.3494, 6.2009, 1.8607, 116.06, 77.00
5.659, 4.6559, 71.2589, 5.1828, 1.8715, 119.08, 79.60
6.502, 4.5001, 75.6620, 5.0462, 1.7430, 116.73, 76.61
7.306, 4.6982, 69.4444, 4.8367, 2.1847, 123.84, 84.93
8.134, 4.6018, 71.9424, 5.8521, 1.9899, 120.24, 80.84
9.607, 4.1450, 72.0288, 5.1808, 1.9835, 116.12, 78.00
10.373, 4.1825, 90.2256, 5.4908, 2.3214, 120.21, 83.43
11.143, 4.4942, 75.0000, 5.3539, 2.2016, 121.17, 83.65
11.946, 4.4013, 78.0234, 5.4938, 2.0140, 117.90, 80.04
12.710, 4.3970, 78.4314, 5.0896, 2.0002, 117.97, 79.95
13.484, 4.5091, 73.9827, 5.4823, 1.8995, 117.47, 78.95
14.288, 4.3608, 78.6370, 5.4863, 1.8637, 115.66, 77.42
15.050, 4.2064, 77.9221, 5.2157, 1.8152, 114.00, 75.75
15.816, 4.5351, 74.8130, 4.8503, 1.9806, 118.69, 80.65
16.592, 4.3586, 77.7202, 5.5300, 1.7398, 114.07, 75.44
17.393, 4.2327, 78.8436, 5.3882, 2.0021, 116.08, 78.79
18.155, 4.1933, 77.4194, 5.8382, 2.1769, 118.04, 81.09
18.959, 4.4457, 75.0939, 6.1142, 2.0323, 118.35, 80.37
19.757, 4.1623, 78.4314, 6.0172, 1.8271, 113.65, 75.33
20.604, 4.0508, 74.5342, 4.7596, 1.9767, 114.61, 77.44
21.334, 4.1566, 73.8916, 4.6414, 2.1436, 118.08, 80.80
22.142, 4.3731, 73.7101, 5.2002, 2.1370, 119.02, 81.90
22.908, 3.6545, 79.5756, 6.2409, 1.8141, 108.89, 71.70
23.681, 4.2286, 75.0939, 5.3973, 2.0637, 116.88, 79.72
24.479, 3.4912, 77.9221, 4.4660, 1.4780, 103.28, 66.05
25.242, 4.1122, 78.1250, 4.1073, 2.2208, 117.97, 81.93
26.078, 4.2622, 74.9064, 5.1046, 1.9823, 116.18, 78.78
26.883, 4.2234, 79.1557, 5.0650, 1.9543, 116.14, 78.10
27.685, 4.4279, 71.1744, 4.9440, 1.8759, 117.07, 78.26
28.487, 4.4715, 74.9064, 5.0947, 1.9400, 118.18, 79.50
29.326, 4.0782, 75.1880, 5.7114, 1.9566, 114.73, 76.93
30.119, 4.3225, 73.8007, 5.6237, 2.0244, 118.10, 79.63
30.955, 4.6517, 72.2022, 4.7991, 1.8524, 118.88, 79.42
31.789, 4.4839, 74.4417, 5.1308, 1.8989, 118.15, 78.92
32.585, 4.6142, 72.2892, 5.2949, 2.0138, 120.81, 81.51
33.467, 4.6254, 72.2022, 5.4794, 1.8651, 118.82, 79.18
34.298, 4.0310, 74.3494, 5.8361, 1.7539, 112.72, 73.39
35.103, 4.4609, 69.2042, 4.9367, 2.0801, 120.44, 81.69
35.934, 4.5385, 72.0288, 5.0824, 1.9500, 119.27, 80.10
36.808, 4.2022, 74.9064, 5.3158, 1.7415, 113.81, 74.52
37.610, 4.3391, 72.4638, 4.7043, 2.0682, 119.40, 80.79
38.405, 4.3328, 68.5714, 5.3445, 1.8890, 116.73, 77.68
39.250, 4.4105, 74.9064, 5.2062, 1.9215, 117.54, 78.76
40.079, 4.2856, 74.5342, 5.3162, 1.9493, 117.04, 78.33
40.845, 4.4212, 71.7703, 5.3129, 1.9646, 118.47, 79.47
41.711, 4.5683, 71.7703, 5.3258, 1.9054, 118.51, 79.50
42.482, 4.1265, 78.5340, 5.8323, 1.8541, 114.49, 75.59
43.251, 4.3410, 68.6499, 6.1284, 1.9745, 117.26, 78.77
44.087, 4.6132, 78.0234, 5.7673, 1.7123, 116.35, 76.59
44.895, 4.3288, 78.8436, 4.7931, 1.9299, 116.94, 78.52
45.728, 4.4020, 71.5990, 5.2104, 2.0329, 118.74, 80.45
46.495, 4.2762, 74.7198, 5.4047, 1.8590, 115.76, 76.82
47.329, 4.3732, 71.7703, 4.9901, 1.9458, 117.17, 78.98
48.933, 4.4089, 72.3764, 5.1507, 2.0125, 118.67, 80.20
49.730, 4.4277, 71.2589, 5.5009, 1.9718, 117.89, 79.55
50.573, 4.4168, 78.4314, 5.3742, 1.9267, 117.32, 78.82
51.331, 4.4311, 74.4417, 5.2763, 1.9265, 117.93, 78.95
52.069, 4.3348, 71.8563, 5.3932, 1.9079, 116.23, 77.98
52.872, 4.1403, 77.0218, 5.0552, 2.0226, 115.28, 78.63
53.671, 4.0269, 83.3333, 5.2996, 2.0691, 115.21, 78.52
54.434, 4.2765, 75.0939, 5.6509, 1.9540, 116.26, 78.22
55.249, 4.3353, 74.0741, 5.5357, 1.8345, 115.12, 76.77
56.050, 3.9261, 79.1557, 5.6528, 1.8836, 112.33, 74.81
56.883, 4.5311, 74.9064, 5.3584, 1.8315, 117.33, 78.08
58.188, 1.1820, 111.5242, 6.2527, 0.8294, 117.33, 78.08
59.024, 4.3477, 78.2269, 4.1795, 2.6937, 126.43, 90.87
59.855, 4.4019, 71.5990, 5.0777, 1.8911, 117.48, 78.28
