経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.010, 9.2040, 74.3112, -0.6825, -0.2810, 114.51, 74.12
0.275, 9.0707, 72.8414, -0.6679, -0.3143, 116.04, 75.09
1.084, 9.0557, 72.6521, -0.6377, -0.3188, 117.03, 76.74
1.889, 9.1346, 73.3562, -0.6519, -0.3259, 116.88, 76.58
2.620, 8.8535, 73.9861, -0.5746, -0.3284, 118.07, 79.79
3.386, 8.8689, 77.7724, -0.6762, -0.3607, 115.17, 75.84
4.155, 9.2255, 78.0497, -0.6462, -0.3446, 116.44, 78.41
4.958, 8.9860, 78.0873, -0.6875, -0.3438, 114.57, 75.27
5.789, 9.0369, 76.3665, -0.6986, -0.3288, 114.46, 74.22
6.568, 9.1194, 74.2260, -0.5957, -0.3177, 117.85, 79.42
7.328, 8.9869, 75.5980, -0.6341, -0.3389, 116.65, 77.64
8.070, 8.9317, 77.2364, -0.6079, -0.3474, 116.98, 79.29
8.804, 8.9703, 79.0079, -0.6671, -0.3558, 115.18, 76.76
9.540, 9.0164, 80.3526, -0.6294, -0.3147, 114.62, 78.02
10.275, 9.0164, 80.9329, -0.6277, -0.3587, 115.89, 79.39
13.546, 8.8196, 81.2813, -0.5837, -0.2694, 113.57, 78.61
14.254, 8.9714, 83.4970, -0.6609, -0.3777, 114.65, 78.33
15.020, 9.0722, 84.1168, -0.6992, -0.3263, 112.07, 75.36
15.791, 9.1118, 81.0650, -0.6884, -0.3442, 114.00, 76.14
17.425, 9.1288, 79.4625, -0.6857, -0.3429, 114.58, 76.08
20.739, 9.0901, 77.1172, -0.6592, -0.3296, 115.50, 76.66
21.534, 9.0637, 75.5650, -0.6519, -0.3259, 115.99, 76.63
24.039, 9.0904, 75.5183, -0.6642, -0.3321, 115.94, 76.23
24.871, 8.8705, 75.0699, -0.6567, -0.3284, 115.52, 75.63
25.711, 9.2859, 73.5630, -0.6346, -0.3570, 118.72, 78.95
27.382, 8.9678, 72.5239, -0.6687, -0.3147, 115.83, 74.62
28.215, 9.0924, 72.3191, -0.6346, -0.3173, 117.28, 76.96
29.058, 9.2315, 72.1736, -0.6735, -0.3565, 117.91, 76.46
29.916, 9.1549, 71.7134, -0.7055, -0.3135, 115.58, 73.23
30.718, 9.0596, 70.7687, -0.6147, -0.3073, 117.90, 77.40
31.553, 8.9855, 72.7347, -0.6995, -0.3292, 115.43, 73.47
32.427, 9.1658, 72.2928, -0.7114, -0.3162, 115.36, 73.11
33.261, 9.2122, 70.4243, -0.6419, -0.3021, 117.53, 76.34
34.101, 9.1005, 71.1331, -0.6323, -0.3162, 117.70, 76.91
34.935, 9.1403, 71.3229, -0.6687, -0.3147, 116.71, 75.11
35.810, 9.1721, 71.5886, -0.6719, -0.3162, 116.68, 75.14
36.608, 9.0759, 70.0884, -0.6041, -0.3398, 119.48, 78.82
37.469, 9.1873, 72.5487, -0.7030, -0.3308, 116.04, 74.07
38.310, 9.1233, 71.0888, -0.6516, -0.3449, 118.17, 76.75
39.146, 9.1556, 71.1737, -0.6663, -0.3135, 116.83, 75.24
39.976, 9.0863, 71.5134, -0.6719, -0.3150, 116.41, 74.77
40.814, 9.2387, 71.8992, -0.6759, -0.3181, 116.73, 75.27
41.712, 9.2141, 71.7488, -0.7088, -0.3150, 115.70, 73.32
42.514, 9.2141, 69.1543, -0.6607, -0.3304, 118.32, 75.93
43.356, 9.1798, 71.8724, -0.6995, -0.3703, 117.58, 75.21
44.243, 9.1704, 71.6070, -0.7063, -0.3139, 115.65, 73.24
45.092, 9.2027, 69.5287, -0.6318, -0.3345, 119.09, 77.60
46.718, 9.1268, 70.0954, -0.6608, -0.2721, 115.91, 74.14
47.592, 9.2586, 69.6065, -0.6452, -0.3422, 119.11, 77.32
48.398, 9.2387, 69.1249, -0.6041, -0.3398, 120.26, 79.30
49.232, 9.0848, 71.7277, -0.6969, -0.3280, 116.07, 73.81
50.070, 9.0980, 71.8349, -0.6331, -0.3165, 117.46, 76.97
50.839, 9.0892, 71.7168, -0.5907, -0.3150, 118.59, 79.14
52.433, 9.1531, 74.7373, -0.7295, -0.3433, 114.93, 73.18
53.241, 9.1032, 73.7186, -0.6000, -0.3200, 117.91, 79.12
54.047, 9.2110, 73.9870, -0.6535, -0.3676, 118.19, 78.01
54.845, 9.1509, 74.2137, -0.6538, -0.3275, 116.66, 76.70
55.646, 9.0907, 74.6976, -0.6617, -0.3308, 116.22, 76.22
56.518, 9.1089, 74.8019, -0.7004, -0.3296, 115.14, 74.20
57.321, 9.3304, 71.7223, -0.6441, -0.3398, 118.62, 77.89
59.784, 8.9850, 73.1458, -0.6567, -0.3284, 116.45, 75.79
