経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.023, 8.3967, 86.1546, -0.4466, -0.3970, 118.66, 88.48
1.554, 9.1537, 83.3089, -0.6640, -0.4435, 117.26, 80.63
3.162, 9.4667, 78.9364, -0.6188, -0.3713, 118.47, 81.64
3.990, 9.3176, 76.5255, -0.6943, -0.3676, 116.59, 76.60
4.794, 9.3549, 74.4392, -0.6377, -0.3188, 117.35, 78.14
5.659, 9.0423, 74.5329, -0.6978, -0.3284, 115.06, 74.01
6.502, 9.1938, 71.8557, -0.6104, -0.3422, 119.18, 79.25
7.306, 9.2296, 71.5134, -0.6263, -0.3523, 119.28, 78.76
8.134, 9.0674, 73.0370, -0.6144, -0.3694, 119.20, 79.46
9.607, 9.0448, 72.7492, -0.5978, -0.3188, 118.07, 78.84
10.373, 9.2607, 73.7214, -0.6164, -0.3699, 119.51, 80.20
11.143, 9.1715, 75.9554, -0.6462, -0.3446, 116.93, 77.90
11.946, 9.1220, 76.8769, -0.6848, -0.3424, 115.37, 75.72
12.710, 9.2317, 75.7830, -0.6164, -0.3288, 117.48, 79.26
13.484, 9.1399, 77.1836, -0.6920, -0.3460, 115.24, 75.55
14.288, 9.0125, 77.3511, -0.6822, -0.2984, 113.57, 74.32
15.050, 9.2324, 75.9646, -0.6567, -0.3284, 116.30, 77.13
15.816, 9.2324, 77.3275, -0.6929, -0.3031, 114.08, 74.71
16.592, 9.0940, 77.8250, -0.6031, -0.3446, 117.31, 80.17
17.393, 9.2615, 77.5715, -0.6379, -0.3827, 118.14, 79.96
18.155, 9.4499, 76.2156, -0.6180, -0.3708, 119.28, 81.22
18.959, 9.0302, 77.4074, -0.6907, -0.3460, 114.89, 75.23
19.757, 8.6792, 76.0398, -0.6575, -0.3288, 114.65, 75.00
20.604, 9.1125, 75.6115, -0.6617, -0.3308, 116.00, 76.43
21.334, 9.2945, 73.1471, -0.5455, -0.3506, 121.13, 83.51
22.142, 9.0527, 77.3562, -0.6772, -0.3611, 115.83, 76.45
22.908, 9.1954, 75.8230, -0.6543, -0.3680, 117.57, 78.18
23.681, 9.1954, 77.0556, -0.6893, -0.3016, 114.10, 74.68
24.479, 8.9920, 77.3366, -0.6831, -0.2988, 113.51, 74.20
25.242, 9.0471, 76.2472, -0.6617, -0.3308, 115.61, 76.27
26.078, 9.0524, 77.4236, -0.7353, -0.3028, 112.34, 71.77
26.883, 9.1291, 74.4437, -0.6308, -0.3154, 116.77, 77.55
27.685, 9.1680, 74.5352, -0.6157, -0.3284, 117.69, 78.87
28.487, 9.1680, 74.6738, -0.6172, -0.3703, 118.94, 79.95
29.326, 9.2310, 74.6968, -0.6986, -0.3699, 116.86, 75.84
30.119, 9.1790, 73.1151, -0.6301, -0.3150, 117.34, 77.58
30.955, 9.1088, 74.3668, -0.6658, -0.3329, 116.33, 76.07
31.789, 9.1088, 73.0455, -0.6316, -0.3553, 118.40, 78.32
32.585, 9.0588, 72.4460, -0.6323, -0.3162, 117.17, 76.94
33.467, 9.0067, 73.9279, -0.7057, -0.3321, 115.05, 73.47
34.298, 9.2783, 70.8549, -0.6361, -0.3367, 118.86, 77.91
35.103, 9.1650, 71.4796, -0.6743, -0.3173, 116.66, 75.00
35.934, 8.9147, 73.0193, -0.6978, -0.2861, 113.81, 72.16
36.808, 9.1417, 72.6085, -0.7148, -0.3177, 115.14, 72.92
37.610, 9.1971, 70.5737, -0.6041, -0.3021, 118.48, 78.32
38.405, 9.0418, 72.6315, -0.6584, -0.3292, 116.76, 75.87
39.250, 9.0945, 73.9787, -0.7048, -0.3317, 115.30, 73.85
40.079, 9.2350, 72.5056, -0.6647, -0.3128, 116.67, 75.80
40.845, 9.1347, 72.4409, -0.5971, -0.3185, 118.43, 79.17
41.711, 9.0746, 75.2228, -0.6884, -0.3442, 115.70, 75.17
42.482, 9.2669, 72.1748, -0.5723, -0.3815, 121.60, 82.68
43.251, 9.0556, 74.8916, -0.6848, -0.3424, 115.79, 75.19
44.087, 8.9441, 76.4254, -0.6866, -0.3004, 113.60, 73.74
44.895, 9.0960, 73.9791, -0.6296, -0.3548, 118.11, 78.50
45.728, 9.1146, 74.1638, -0.6952, -0.3259, 115.38, 74.31
46.495, 9.0442, 73.0807, -0.5942, -0.3169, 118.00, 79.03
47.329, 9.1132, 75.5663, -0.7314, -0.3442, 114.53, 73.07
48.933, 9.2709, 73.7099, -0.5935, -0.3561, 119.74, 81.08
49.730, 9.0922, 75.7575, -0.6857, -0.3429, 115.62, 75.42
50.573, 9.1360, 75.5191, -0.7039, -0.3312, 114.95, 74.26
51.331, 9.0066, 73.2824, -0.5872, -0.3132, 117.90, 79.19
52.069, 8.9636, 76.0577, -0.6087, -0.3478, 117.43, 79.21
52.872, 9.1222, 78.6434, -0.6716, -0.3582, 115.69, 77.11
53.671, 9.2033, 76.6314, -0.6575, -0.3699, 117.31, 78.20
54.434, 9.0167, 75.8548, -0.6195, -0.3304, 116.79, 78.33
55.249, 9.0943, 77.1712, -0.6911, -0.3455, 115.13, 75.41
56.050, 9.0943, 75.4009, -0.6486, -0.3243, 116.17, 76.85
56.883, 8.0448, 75.1058, -0.9040, -0.3292, 106.32, 59.31
58.188, 9.1166, 73.5802, -0.6743, -0.3570, 117.13, 76.19
59.024, 9.1473, 72.7963, -0.6735, -0.3169, 116.21, 75.15
59.855, 9.1704, 72.2797, -0.6316, -0.3158, 117.56, 77.37
