経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.018, 5.0395, 74.3494, 5.3960, 2.1059, 115.29, 85.77
0.906, 4.9316, 66.7408, 5.8179, 1.8422, 112.61, 84.69
2.647, 5.0609, 68.4932, 5.9070, 1.7962, 105.10, 79.55
3.475, 4.9107, 66.5927, 5.9917, 1.7771, 103.19, 78.32
4.318, 4.5801, 72.0288, 6.5333, 1.7595, 102.55, 78.54
6.453, 3.2279, 89.6861, 7.3785, 1.9421, 107.36, 82.73
7.264, 4.0779, 86.0832, 6.2428, 1.9587, 106.69, 80.87
10.898, 4.8684, 64.1026, 5.1418, 1.7832, 103.69, 77.62
11.801, 4.8281, 63.7620, 5.1324, 1.6946, 102.33, 76.75
12.601, 4.4635, 69.3642, 5.1257, 1.6604, 102.69, 77.03
13.504, 4.5447, 66.4452, 4.7780, 1.9679, 106.45, 78.91
15.036, 4.5148, 66.7408, 6.2410, 2.0998, 104.72, 79.32
18.017, 3.3463, 84.8656, 6.3410, 2.0971, 109.63, 82.88
19.850, 4.5189, 71.0900, 5.5839, 1.9966, 105.46, 79.16
22.791, 0.6040, 59.9401, 1.2205, 1.0320, 118.12, 83.74
23.630, 4.1134, 59.7610, 3.8178, 2.5425, 113.73, 82.20
24.466, 4.4185, 64.0342, 6.6135, 2.8147, 111.07, 83.44
25.236, 3.7971, 72.1154, 7.2282, 2.8880, 113.38, 85.73
26.069, 4.5202, 71.2589, 6.6705, 2.6760, 110.52, 83.29
27.834, 4.3952, 71.9424, 6.5457, 1.8609, 103.48, 79.09
28.707, 4.5330, 64.2398, 6.8218, 1.8138, 101.99, 78.43
29.610, 4.8672, 71.7703, 6.0083, 1.8908, 102.25, 77.55
30.507, 4.9707, 69.3642, 5.6170, 1.6221, 99.49, 75.43
31.441, 4.7657, 66.4452, 5.9862, 1.7654, 100.79, 76.63
32.321, 4.9431, 66.1521, 5.9432, 1.7687, 99.77, 75.85
33.152, 4.8851, 63.9659, 6.1622, 1.8711, 100.86, 76.77
37.695, 4.0003, 85.8369, 5.2377, 1.9849, 107.33, 80.06
38.498, 4.1165, 89.0208, 5.0692, 2.2100, 109.81, 81.35
44.041, 4.9146, 62.3053, 5.0847, 1.8309, 103.67, 77.49
44.907, 4.7488, 60.0000, 5.0776, 1.7326, 104.04, 77.85
45.811, 4.3947, 77.8210, 5.7535, 2.0864, 106.66, 80.11
46.655, 4.3912, 69.0449, 5.9773, 1.8002, 102.91, 78.06
47.509, 4.6906, 66.5188, 5.7690, 1.8160, 102.49, 77.50
48.423, 4.6729, 71.8563, 5.6489, 1.7900, 102.53, 77.41
49.320, 4.6343, 69.2042, 5.7366, 1.9007, 102.97, 77.70
50.190, 4.8285, 66.7408, 5.7550, 1.6795, 100.07, 75.93
51.025, 4.7194, 66.0066, 5.2419, 1.9084, 103.58, 77.52
51.791, 4.7277, 69.1244, 5.2778, 1.8441, 103.36, 77.48
52.635, 4.4261, 72.1154, 5.4977, 1.7848, 104.57, 78.66
53.434, 4.5096, 77.9221, 5.5598, 2.0528, 106.25, 79.62
54.230, 4.5662, 71.5137, 6.0772, 1.8529, 103.71, 78.69
55.038, 4.5577, 74.8130, 5.9632, 1.7251, 102.95, 78.16
58.076, 4.3057, 78.0234, 5.1612, 1.9880, 107.56, 80.13
58.845, 4.1655, 81.8554, 5.8972, 2.0621, 108.05, 81.29
