経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.013, 9.2989, 103.8841, -0.9378, -0.6448, 123.05, 104.57
6.467, 0.7598, 103.8841, -0.2327, -0.6448, 104.62, 115.84
7.394, 9.4230, 82.5556, -0.6769, -0.3767, 127.34, 98.10
8.371, 9.2946, 72.5609, -0.5329, -0.5340, 132.78, 94.60
9.436, 0.5736, 66.5228, -0.8444, -0.5067, 117.89, 82.05
10.471, 9.2458, 61.0083, -0.4648, -0.8056, 140.68, 88.34
11.407, 9.4036, 59.4214, -0.5734, -0.4141, 136.50, 86.47
12.382, 9.2619, 61.7050, -0.7048, -0.3529, 134.76, 85.33
13.349, 9.4659, 61.6216, -0.5077, -0.8113, 141.05, 87.90
14.243, 9.2220, 61.8020, -0.4773, -0.4773, 135.89, 89.54
15.282, 9.0180, 64.3831, -0.8130, -0.2956, 132.67, 84.83
16.353, 9.5362, 60.8852, -0.6035, -0.8576, 142.28, 85.44
17.353, 9.5362, 58.3527, -0.5854, -0.4006, 137.01, 85.69
18.354, 9.0575, 59.1649, -0.6930, -0.7260, 140.37, 82.88
19.425, 9.3458, 59.5499, -0.7243, -0.2967, 135.03, 83.87
20.395, 9.5481, 57.7323, -0.6471, -0.7703, 142.42, 82.99
21.362, 9.2814, 59.6932, -0.7137, -0.8496, 142.34, 82.48
22.365, 8.9743, 60.8785, -0.7174, -0.2733, 133.44, 84.74
23.331, 9.3452, 60.3449, -0.6909, -0.2961, 134.65, 85.00
24.269, 9.3820, 61.2156, -0.7174, -0.8199, 141.56, 83.42
25.204, 0.8342, 62.5605, -0.1759, -0.2463, 115.11, 93.94
28.108, 9.2585, 63.3556, -0.7412, -0.8118, 140.42, 84.19
29.112, 9.1311, 62.8261, -0.7196, -0.4112, 134.89, 85.47
30.121, 9.4417, 61.2552, -0.5588, -0.4263, 136.01, 87.82
31.123, 9.4682, 60.3467, -0.5887, -0.4252, 136.45, 86.70
32.049, 9.2946, 60.0825, -0.6580, -0.2632, 134.14, 85.59
33.023, 9.1317, 62.3821, -0.7135, -0.2854, 133.34, 85.71
33.996, 9.4349, 61.9894, -0.7115, -0.2710, 133.89, 85.66
34.960, 9.3637, 61.8268, -0.7122, -0.8140, 141.19, 83.90
35.931, 9.0164, 62.0330, -0.6846, -0.8216, 140.47, 84.43
36.901, 9.3626, 61.9123, -0.5438, -0.7817, 140.40, 87.41
37.910, 9.3932, 61.8840, -0.7485, -0.7825, 140.87, 83.31
38.866, 9.4007, 60.6196, -0.7188, -0.3921, 136.01, 84.34
