経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.057, 9.3640, 103.6253, -0.8079, -0.6836, 123.56, 106.91
2.131, 0.8940, 103.6253, -0.2486, -0.8701, 108.08, 114.73
8.409, 1.1780, 107.2377, -0.6722, -0.4278, 102.06, 109.82
16.191, 1.1248, 98.3200, -0.5991, -0.4992, 106.21, 105.81
17.835, 8.8739, 93.9517, -0.8906, -0.3958, 122.54, 100.29
22.841, 7.1112, 89.5104, -0.4231, -0.7991, 125.30, 105.22
34.305, 9.1106, 94.2423, -0.7662, -0.5473, 124.72, 102.57
36.677, 3.4458, 96.9574, -1.2629, -0.2745, 109.60, 93.20
38.952, 0.8740, 100.7702, -0.1731, -0.5769, 105.00, 115.44
39.489, 8.5440, 108.6549, -0.8409, -0.7780, 121.33, 108.66
42.757, 0.3308, 110.1719, -0.6760, -0.6145, 101.79, 110.63
43.554, 0.1680, 111.1519, -1.2953, -0.4935, 100.63, 99.15
47.870, 1.5672, 123.6092, -0.7657, -0.4594, 97.16, 117.60
55.348, 1.8831, 117.7162, -0.8034, -0.4944, 100.61, 113.39
