経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.057, 3.8168, 66.5927, 7.3519, 1.7155, 110.66, 85.30
2.131, 4.7044, 74.7198, 5.1236, 1.9152, 112.73, 83.83
8.409, 4.5301, 59.8205, 5.9747, 1.4999, 115.01, 85.62
16.191, 3.7387, 53.1915, 3.0770, 5.8463, 154.19, 106.08
17.835, 3.1890, 89.9550, 2.7277, 2.8820, 154.19, 106.08
22.841, 4.3717, 64.2398, 4.9175, 5.4872, 143.38, 101.13
34.305, 0.3894, 98.6842, 0.9393, 5.0382, 103.27, 76.71
36.677, 4.2138, 89.1530, 4.1806, 2.9096, 123.50, 89.13
38.952, 4.6957, 66.4452, 4.3393, 2.0749, 114.77, 84.13
39.489, 4.6957, 66.4452, 4.3393, 2.0749, 114.77, 84.13
42.757, 4.5246, 51.1945, 6.3450, 1.2076, 129.99, 95.83
43.554, 4.2095, 64.4468, 3.1504, 0.8183, 109.63, 80.47
47.870, 3.8446, 80.9717, 3.5417, 0.9243, 114.45, 84.22
55.348, 0.7182, 54.0541, 1.0634, 5.3935, 169.50, 114.86
