経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.061, 4.2573, 77.9221, 6.4089, 2.2941, 113.08, 85.21
0.494, 4.2573, 77.9221, 6.4089, 2.2941, 113.08, 85.21
1.254, 3.9776, 81.1908, 6.6553, 2.2301, 111.60, 84.53
2.063, 4.0236, 82.7586, 6.5164, 2.1548, 109.98, 83.30
2.792, 4.7717, 78.2269, 5.4358, 2.1143, 107.44, 80.25
3.530, 4.0076, 73.8916, 5.4047, 2.0222, 110.03, 82.12
4.299, 4.6147, 82.1918, 4.7880, 2.5649, 113.83, 83.45
5.098, 4.6657, 81.8554, 5.3086, 2.2688, 109.75, 81.55
5.867, 4.5361, 77.9221, 5.1642, 2.0693, 108.10, 80.42
6.640, 4.6251, 74.9064, 5.3135, 2.2330, 109.13, 81.15
7.368, 4.8481, 77.9221, 5.2331, 2.3894, 109.86, 81.40
8.141, 3.7242, 78.0234, 6.9027, 2.1367, 109.66, 83.56
8.844, 4.2044, 81.8554, 6.3606, 2.3320, 110.23, 83.09
9.649, 4.2985, 78.1250, 6.2196, 2.2742, 110.35, 83.07
10.412, 4.1616, 85.1064, 6.2167, 2.1464, 108.74, 82.07
11.115, 4.5442, 74.8130, 5.6974, 2.3322, 109.92, 82.07
11.848, 4.2066, 78.1250, 5.9614, 2.3352, 111.61, 83.57
12.681, 4.4828, 86.0832, 5.6120, 2.3754, 111.52, 83.04
13.417, 4.6287, 81.6327, 5.3874, 2.1561, 108.05, 80.57
14.219, 4.6397, 71.1744, 4.8989, 2.1510, 109.34, 80.89
14.956, 4.2365, 82.3045, 5.0454, 2.2473, 110.97, 82.10
15.698, 4.8199, 74.7198, 5.1448, 2.5680, 112.11, 82.67
16.490, 4.6731, 82.0793, 5.5160, 2.2383, 109.27, 81.50
17.262, 4.3106, 80.9717, 5.6897, 2.0935, 108.49, 81.31
17.963, 4.3027, 75.4717, 4.5321, 2.3930, 113.11, 82.81
18.766, 4.2450, 77.1208, 4.3539, 2.3812, 114.42, 83.53
19.464, 2.9518, 85.8369, 3.7153, 2.1270, 117.13, 84.92
20.166, 4.7741, 74.4417, 4.6568, 2.6424, 114.41, 83.61
20.939, 4.3083, 86.0832, 6.1298, 2.1229, 109.48, 82.52
21.703, 4.2974, 85.8369, 6.0019, 2.3121, 110.71, 83.01
23.174, 4.4813, 77.5194, 5.7069, 2.1588, 108.84, 81.51
24.014, 4.3373, 89.8204, 5.6015, 2.1591, 108.98, 81.47
25.476, 4.4198, 71.5990, 6.2417, 2.2506, 107.74, 81.28
26.218, 2.9328, 90.3614, 7.4229, 2.3020, 112.04, 85.66
26.953, 4.5508, 74.3494, 6.0489, 2.2582, 108.49, 81.57
27.753, 4.0276, 81.9672, 5.6353, 2.1023, 110.18, 82.42
28.487, 4.5494, 81.8554, 3.9613, 2.3955, 112.99, 82.03
29.185, 4.6997, 74.3494, 5.5850, 2.3458, 109.90, 81.90
29.986, 4.5985, 81.7439, 5.5724, 2.0684, 108.54, 81.24
30.763, 4.3833, 86.0832, 5.5684, 2.0829, 108.51, 81.19
31.467, 4.7200, 74.8130, 5.0163, 2.2864, 109.80, 81.21
32.271, 4.5392, 78.1250, 5.5510, 2.1271, 109.06, 81.52
33.026, 4.4177, 84.6262, 5.5509, 2.2436, 109.70, 81.83
33.765, 4.7368, 74.6269, 4.7931, 2.1993, 109.51, 80.83
35.372, 4.4900, 81.8554, 5.6796, 2.1071, 108.48, 81.28
36.206, 4.4052, 69.1244, 5.9319, 2.1610, 109.12, 81.98
37.008, 4.2909, 81.8554, 6.1319, 2.3016, 109.34, 82.21
38.474, 4.0958, 74.8130, 6.7069, 2.3028, 108.99, 82.67
39.218, 2.1962, 94.4882, 7.7171, 1.9308, 110.75, 85.52
39.916, 4.7290, 71.6846, 5.5858, 2.4507, 110.75, 85.52
40.753, 3.9175, 81.3008, 6.6246, 2.0359, 108.80, 82.73
41.483, 3.9622, 85.4701, 6.1138, 2.1113, 108.89, 82.08
42.986, 4.3527, 82.7586, 5.9946, 2.2797, 109.85, 82.44
43.722, 4.2902, 88.8889, 5.6162, 2.2249, 109.26, 81.61
44.424, 4.6795, 72.1154, 5.0746, 2.2245, 109.39, 81.06
45.223, 4.5017, 81.4111, 5.0643, 2.1004, 109.82, 81.49
46.033, 4.4550, 85.4701, 5.4103, 2.1632, 109.15, 81.36
47.472, 3.6810, 75.2823, 4.5827, 2.2858, 113.96, 83.58
48.169, 4.6750, 89.6861, 4.6495, 2.7392, 114.41, 83.49
48.969, 4.5688, 78.0234, 4.8432, 2.2395, 111.04, 81.92
49.804, 4.2575, 84.7458, 5.3603, 2.2083, 110.29, 82.05
50.574, 4.6280, 75.1880, 4.7387, 2.3655, 110.56, 81.31
51.306, 4.6493, 71.5137, 5.2819, 2.1171, 107.72, 80.25
52.007, 4.5517, 78.3290, 5.1021, 2.2066, 109.87, 81.45
52.805, 3.9639, 81.6327, 5.4405, 2.2241, 112.47, 83.66
53.496, 4.7675, 85.2273, 5.0666, 2.6378, 112.92, 83.07
54.245, 4.5432, 74.9064, 5.9430, 2.3699, 110.90, 83.02
56.457, 3.3185, 71.7703, 3.8618, 2.4603, 119.37, 86.31
57.221, 1.8752, 93.7500, 2.5693, 2.7191, 129.23, 91.35
58.626, 4.3669, 78.4314, 5.7235, 2.1148, 108.93, 81.64
59.391, 4.2544, 90.0901, 6.0786, 2.4867, 112.34, 84.06
