経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.065, 9.1632, 77.8468, -0.5123, -0.4696, 129.58, 98.26
0.388, 9.2096, 79.7478, -0.6294, -0.4046, 128.28, 97.25
2.023, 9.5183, 77.3509, -0.5782, -0.3717, 129.27, 97.07
2.829, 9.0167, 76.1090, -0.6180, -0.4120, 129.37, 95.26
5.272, 9.2134, 75.2661, -0.5323, -0.4504, 130.44, 96.42
6.003, 9.2907, 76.5711, -0.5571, -0.4286, 129.85, 96.78
6.834, 9.3827, 79.1773, -0.6762, -0.4057, 128.95, 96.04
8.408, 9.1526, 75.5766, -0.4373, -0.4771, 130.38, 98.40
9.247, 9.2833, 80.1659, -0.6572, -0.4694, 129.20, 96.77
10.047, 9.2704, 75.6407, -0.5119, -0.4332, 130.14, 97.12
10.785, 9.3598, 75.3190, -0.4950, -0.4538, 130.69, 97.24
11.582, 9.3134, 78.1957, -0.6260, -0.4472, 129.66, 96.31
12.415, 9.4964, 76.7113, -0.6211, -0.4141, 130.13, 95.70
13.184, 9.3995, 74.2964, -0.5546, -0.3962, 130.50, 95.63
14.018, 9.4057, 76.0660, -0.6429, -0.3857, 129.86, 94.94
14.766, 9.4552, 73.9924, -0.5546, -0.3962, 130.72, 95.47
15.624, 9.4552, 76.9776, -0.6176, -0.3529, 129.11, 96.10
16.399, 9.3446, 73.2401, -0.5378, -0.3842, 130.60, 95.36
18.031, 9.2140, 75.3190, -0.5116, -0.4690, 130.64, 96.81
18.865, 9.4324, 78.5026, -0.6762, -0.4508, 129.92, 95.52
19.634, 9.4775, 75.1265, -0.5546, -0.3962, 130.33, 96.14
20.503, 9.2194, 76.5476, -0.6866, -0.3862, 129.39, 94.29
22.115, 9.1583, 72.5590, -0.4552, -0.4172, 130.78, 96.45
22.874, 9.2737, 76.4861, -0.5782, -0.4447, 130.11, 96.26
23.649, 9.2737, 77.7476, -0.5652, -0.4348, 129.46, 97.29
24.445, 9.4999, 77.6333, -0.6395, -0.3837, 129.41, 95.97
25.177, 9.3247, 76.4885, -0.5804, -0.3731, 129.24, 96.45
25.968, 9.4481, 79.0810, -0.6303, -0.3602, 128.41, 97.05
26.685, 9.3379, 77.8859, -0.5064, -0.3798, 128.68, 98.73
28.088, 9.0341, 80.2483, -0.5462, -0.4097, 127.65, 99.13
29.501, 9.3610, 80.8800, -0.5367, -0.4035, 127.96, 99.82
30.270, 9.3862, 80.7081, -0.5758, -0.4430, 128.68, 98.83
30.995, 9.2901, 79.3431, -0.5579, -0.4291, 128.79, 98.39
31.760, 9.2901, 80.9602, -0.5909, -0.4091, 127.96, 98.74
32.526, 9.3233, 79.7287, -0.6047, -0.4319, 128.84, 97.69
33.268, 9.4582, 78.9706, -0.5593, -0.3872, 128.71, 98.33
34.035, 9.3645, 79.9586, -0.6235, -0.4008, 128.45, 97.56
34.872, 9.5150, 79.0312, -0.6445, -0.3867, 128.95, 96.68
35.570, 9.3519, 75.2260, -0.4737, -0.3947, 129.87, 97.78
36.377, 9.3783, 80.1819, -0.7082, -0.4249, 128.88, 95.93
37.173, 9.4954, 77.2052, -0.6141, -0.3685, 129.31, 96.27
37.911, 9.3773, 76.2317, -0.5797, -0.3726, 129.44, 96.33
38.741, 9.2585, 78.7363, -0.6716, -0.3582, 128.22, 95.97
39.546, 9.3762, 75.3751, -0.5566, -0.3976, 130.06, 96.21
40.286, 9.4645, 74.9523, -0.5317, -0.4099, 130.52, 96.45
41.080, 9.5342, 77.8963, -0.6689, -0.4014, 129.67, 95.49
42.687, 8.6002, 76.6648, -0.4981, -0.4151, 128.14, 97.83
43.453, 9.2163, 79.1229, -0.6294, -0.4496, 129.15, 96.75
44.229, 8.5432, 78.6723, -0.6010, -0.3872, 127.07, 97.02
44.998, 9.1409, 77.9901, -0.5103, -0.3827, 128.29, 98.64
45.762, 9.3666, 78.0575, -0.5156, -0.4727, 129.95, 98.38
46.531, 9.2099, 78.2950, -0.5183, -0.4751, 129.58, 98.40
47.263, 9.2289, 78.1590, -0.5150, -0.4720, 129.63, 98.41
48.071, 9.2289, 79.9645, -0.5402, -0.4502, 128.68, 99.03
48.831, 9.3827, 77.0548, -0.5316, -0.4089, 129.53, 97.67
49.607, 9.3893, 77.9896, -0.6079, -0.4342, 129.68, 96.62
50.375, 9.4472, 77.6532, -0.5941, -0.3814, 129.18, 96.87
51.176, 9.3830, 77.8378, -0.6008, -0.3862, 129.06, 96.81
51.979, 9.3311, 76.3926, -0.5775, -0.4125, 129.82, 96.33
52.777, 9.4326, 75.5469, -0.5753, -0.4110, 130.32, 95.92
53.515, 9.2840, 75.3670, -0.5376, -0.4135, 130.06, 96.51
54.322, 9.4268, 78.2215, -0.6260, -0.4024, 129.27, 96.50
55.122, 9.3537, 76.2364, -0.5725, -0.4089, 129.87, 96.36
55.858, 9.3537, 75.6131, -0.5775, -0.4125, 130.16, 95.88
56.659, 9.3090, 78.4563, -0.6277, -0.4484, 129.57, 96.43
57.491, 9.1828, 76.6403, -0.5768, -0.4120, 129.42, 96.45
