経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.001, 4.5803, 74.0741, 6.0297, 2.2051, 109.68, 82.45
0.402, 4.5803, 74.0741, 6.0297, 2.2051, 109.68, 82.45
1.238, 4.8168, 72.1154, 5.5931, 2.1695, 107.48, 80.41
2.071, 4.7809, 72.1154, 5.7785, 2.0872, 105.76, 79.51
2.940, 4.1690, 71.6846, 6.7444, 2.0087, 105.45, 80.55
4.550, 4.5111, 69.7674, 6.2517, 2.3434, 107.45, 80.99
5.348, 4.4733, 81.6327, 6.1493, 2.3125, 107.15, 80.68
6.186, 4.6272, 68.6499, 5.9249, 2.2361, 106.88, 80.31
6.989, 4.6707, 74.8130, 5.7548, 2.1756, 106.33, 79.79
7.786, 4.7027, 72.0288, 5.8144, 2.1751, 106.45, 79.94
8.604, 4.7532, 75.0939, 5.5541, 2.1726, 106.88, 79.93
9.455, 4.6450, 75.0000, 5.6163, 2.0784, 106.23, 79.65
10.223, 4.7443, 74.5342, 5.1964, 2.1331, 106.60, 79.34
11.067, 4.8185, 68.7285, 5.3917, 2.0896, 106.33, 79.44
11.868, 4.5624, 78.7402, 5.8877, 2.1174, 106.25, 79.95
12.700, 4.6300, 71.0900, 5.8431, 2.0530, 105.71, 79.59
13.534, 4.5909, 75.0000, 5.8156, 1.9003, 104.28, 78.72
14.303, 4.6375, 71.8563, 5.7611, 2.0313, 105.25, 79.19
15.169, 4.7044, 71.8563, 5.7324, 2.0801, 106.15, 79.74
15.975, 4.5582, 78.6370, 5.8028, 2.0933, 105.96, 79.67
16.772, 4.6943, 68.8863, 5.6916, 2.2521, 107.36, 80.35
17.609, 4.6616, 74.5342, 5.8787, 2.2409, 107.33, 80.56
18.378, 4.4857, 74.9064, 5.9850, 2.1471, 106.62, 80.30
19.178, 4.6312, 71.9424, 5.6670, 2.1601, 107.34, 80.40
19.977, 4.6429, 78.5340, 5.6578, 2.1853, 107.48, 80.47
20.786, 4.7756, 75.0000, 5.4500, 2.1805, 107.26, 80.06
21.588, 4.7830, 74.0741, 5.4542, 2.0578, 105.98, 79.31
22.326, 4.4894, 75.4717, 6.1593, 2.2032, 107.30, 80.93
23.130, 4.3931, 74.1656, 6.1502, 2.2453, 108.83, 81.95
23.920, 4.3050, 81.8554, 6.0933, 2.1417, 107.91, 81.34
24.660, 4.5235, 74.9064, 5.9257, 2.0278, 106.27, 80.12
25.493, 4.6284, 74.5342, 5.6552, 2.0096, 106.76, 80.15
26.328, 4.4936, 80.2139, 5.3927, 1.8676, 105.56, 79.14
27.131, 4.8127, 72.4638, 5.1390, 2.0909, 106.39, 79.17
27.962, 4.8262, 72.8155, 5.5590, 2.0937, 105.83, 79.29
28.775, 4.5427, 74.4417, 5.8802, 2.1358, 106.54, 80.13
29.610, 4.6968, 72.0288, 5.4412, 2.1496, 106.86, 79.80
30.442, 4.6640, 74.9064, 5.5153, 2.0634, 105.89, 79.31
31.237, 4.6881, 71.8563, 5.2668, 2.1073, 106.53, 79.40
32.081, 4.8152, 71.3436, 5.0819, 2.0235, 105.95, 78.87
32.910, 4.5751, 75.6620, 5.5163, 1.9430, 105.07, 78.86
33.711, 4.6924, 71.4286, 4.8673, 2.1514, 107.57, 79.60
34.551, 4.6344, 71.7703, 4.8068, 2.0237, 107.03, 79.29
35.346, 4.5638, 75.0939, 4.9101, 2.1142, 107.67, 79.76
36.181, 4.7727, 71.8563, 4.7781, 2.1297, 107.60, 79.54
37.052, 4.6267, 74.8130, 5.1186, 2.0012, 106.15, 79.07
37.819, 4.8363, 71.4286, 5.0360, 2.1602, 106.44, 79.00
38.622, 4.8335, 69.7674, 5.4629, 2.1927, 106.92, 79.83
39.460, 4.3752, 77.7202, 6.2063, 2.1719, 107.32, 81.03
40.255, 4.6797, 74.5342, 5.7921, 2.0801, 105.62, 79.44
41.096, 4.7323, 71.6846, 5.6831, 1.9243, 104.49, 78.69
41.865, 4.6474, 75.0939, 5.5204, 2.0895, 106.20, 79.50
42.702, 4.7461, 71.9424, 5.4547, 2.1508, 107.13, 80.01
43.534, 4.6150, 77.7202, 5.3500, 1.9593, 105.59, 79.01
44.314, 4.6981, 72.0288, 4.9330, 2.1407, 107.43, 79.60
45.171, 4.7488, 72.0288, 5.1011, 2.1424, 107.49, 79.84
45.973, 4.5729, 76.8246, 4.8089, 2.0120, 106.81, 79.15
46.814, 4.8328, 70.0117, 4.8904, 2.1418, 107.19, 79.38
47.648, 4.7344, 74.4417, 5.0584, 2.0337, 106.02, 78.87
48.444, 4.7822, 72.4638, 5.3007, 2.0575, 105.62, 78.86
49.283, 4.8249, 71.5137, 5.2601, 2.1161, 106.43, 79.32
50.115, 4.6526, 75.0000, 5.3982, 2.0379, 105.87, 79.18
50.920, 4.8396, 71.3436, 4.9468, 2.1447, 106.81, 79.17
51.736, 4.7638, 72.2892, 5.5473, 2.0181, 105.25, 78.95
52.553, 4.5420, 74.7198, 5.9569, 2.1192, 106.35, 80.11
54.064, 3.9896, 71.9424, 6.8468, 2.4129, 109.66, 83.18
55.610, 4.1926, 74.7198, 6.4483, 2.1258, 107.11, 81.23
56.435, 4.3786, 80.8625, 6.0538, 2.1832, 107.53, 80.98
57.205, 4.7389, 75.3769, 5.3650, 2.1652, 106.94, 79.75
58.038, 4.7309, 71.5990, 5.5542, 2.1228, 106.84, 79.96
59.638, 4.8398, 71.6846, 5.4037, 2.0232, 105.32, 78.82
