経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.060, 9.4539, 61.9323, -0.7246, -0.3293, 90.88, 65.91
14.091, 9.2916, 61.9323, -0.5928, -0.2964, 90.81, 65.87
15.031, 9.2916, 64.1780, -0.6593, -0.3296, 91.03, 65.98
16.937, 9.2704, 64.0034, -0.7021, -0.3160, 91.00, 65.96
18.902, 9.2044, 63.9846, -0.7377, -0.2814, 90.96, 65.94
19.815, 9.2317, 61.9603, -0.6266, -0.2973, 90.78, 65.85
20.716, 9.1921, 63.7836, -0.6506, -0.2892, 90.94, 65.93
21.647, 9.2099, 65.1579, -0.6959, -0.3296, 91.08, 66.00
41.657, 9.4984, 64.8004, -0.6026, -0.4608, 91.22, 66.08
43.638, 9.5218, 66.8926, -0.7604, -0.3422, 91.41, 66.18
44.607, 9.2350, 64.0697, -0.6762, -0.3043, 90.99, 65.96
46.572, 9.2860, 62.9763, -0.7152, -0.3065, 90.90, 65.91
47.437, 9.4119, 62.3137, -0.5755, -0.2713, 90.91, 65.92
48.344, 9.3160, 65.6502, -0.6867, -0.3434, 91.19, 66.06
49.272, 9.3277, 65.9002, -0.6913, -0.3275, 91.22, 66.08
50.214, 9.3702, 65.2363, -0.6749, -0.3197, 91.17, 66.06
51.109, 9.4017, 64.4560, -0.6306, -0.3153, 91.11, 66.03
52.054, 9.2396, 65.7222, -0.6637, -0.3318, 91.16, 66.04
52.956, 9.5846, 64.5879, -0.6635, -0.3481, 91.22, 66.09
53.889, 9.2476, 65.5750, -0.6959, -0.2930, 91.14, 66.03
54.821, 9.2476, 64.9005, -0.6713, -0.3180, 91.08, 66.00
55.726, 9.3204, 64.6729, -0.6735, -0.3190, 91.09, 66.01
56.625, 9.2776, 65.4755, -0.6564, -0.2917, 91.15, 66.04
59.165, 9.2413, 66.0657, -0.6967, -0.2933, 91.19, 66.06
