経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.019, 6.4163, 91.1598, -0.4962, -0.4466, 92.32, 66.48
1.351, 7.9525, 90.0100, -0.3911, -0.5378, 92.99, 66.89
2.003, 8.4375, 94.5930, -0.4934, -0.5482, 93.68, 67.26
3.232, 8.8821, 93.2186, -0.5559, -0.4548, 93.75, 67.32
3.870, 7.7825, 90.6585, -0.5338, -0.4368, 92.95, 66.86
4.494, 9.3825, 92.3913, -0.4662, -0.4144, 93.93, 67.43
5.095, 8.8464, 94.1611, -0.5280, -0.5280, 93.84, 67.36
5.732, 9.0786, 96.9144, -0.5491, -0.4393, 94.22, 67.56
6.329, 8.7260, 95.5336, -0.6201, -0.4662, 93.90, 67.39
7.001, 8.7260, 97.8752, -0.6605, -0.3311, 94.12, 67.50
7.664, 8.6800, 93.4561, -0.5410, -0.4426, 93.68, 67.27
8.268, 7.0750, 91.9531, -0.5475, -0.4480, 92.72, 66.72
8.870, 9.0929, 95.5029, -0.5464, -0.3825, 94.08, 67.49
10.778, 8.1638, 97.5409, -0.4934, -0.4934, 93.84, 67.33
11.477, 8.3929, 97.8692, -0.5401, -0.4861, 93.98, 67.41
12.112, 6.9294, 91.3893, -0.3300, -0.5186, 92.62, 66.66
13.247, 5.6724, 92.9849, -0.5726, -0.4164, 92.12, 66.34
13.880, 9.0556, 91.4449, -0.4948, -0.4453, 93.67, 67.29
14.450, 9.1275, 93.0858, -0.5213, -0.4692, 93.87, 67.39
15.752, 8.9300, 98.8007, -0.5211, -0.5211, 94.35, 67.62
17.628, 6.7686, 99.1503, -0.6567, -0.3831, 93.27, 66.97
19.528, 6.2334, 95.2274, -0.5542, -0.5038, 92.63, 66.63
20.129, 8.6868, 92.7306, -0.4970, -0.4473, 93.61, 67.24
23.839, 8.2268, 96.0741, -0.4934, -0.5482, 93.73, 67.27
24.446, 9.3727, 100.2910, -0.6346, -0.4615, 94.70, 67.82
25.072, 5.4964, 99.4811, -0.5970, -0.6513, 92.70, 66.63
26.441, 8.3825, 97.6301, -0.5783, -0.4744, 93.94, 67.39
27.015, 5.3686, 94.2237, -0.5008, -0.6009, 92.12, 66.33
27.616, 8.4855, 99.0277, -0.6887, -0.8609, 94.16, 67.51
28.254, 2.6158, 99.4290, -0.6589, -0.7687, 91.26, 65.76
28.889, 8.9727, 96.7394, -0.5181, -0.3626, 94.14, 67.52
29.448, 7.4788, 95.6006, -0.5197, -0.4677, 93.29, 67.02
30.117, 8.1506, 101.0432, -0.6482, -0.5304, 94.17, 67.49
30.688, 8.5002, 95.0265, -0.4439, -0.4439, 93.75, 67.30
31.320, 9.2898, 99.8832, -0.5789, -0.5211, 94.63, 67.78
31.996, 7.9913, 97.2683, -0.5735, -0.4692, 93.71, 67.26
33.131, 8.0452, 92.8181, -0.4882, -0.3905, 93.29, 67.05
33.699, 7.8922, 98.0052, -0.6263, -0.3997, 93.72, 67.26
34.301, 7.8751, 101.6766, -0.6972, -0.3486, 94.07, 67.43
34.900, 8.7656, 100.6622, -0.5482, -0.3289, 94.43, 67.65
35.566, 8.4700, 100.4139, -0.4958, -0.4407, 94.27, 67.56
36.666, 9.0276, 94.9723, -0.4955, -0.3468, 94.00, 67.45
37.271, 7.3773, 97.6592, -0.5528, -0.4422, 93.44, 67.09
37.839, 7.9800, 98.3299, -0.4901, -0.4356, 93.82, 67.31
38.441, 8.5353, 101.9376, -0.5820, -0.4656, 94.45, 67.65
39.038, 8.5353, 100.7053, -0.5473, -0.4378, 94.33, 67.59
39.607, 6.5364, 100.6882, -0.4983, -0.4430, 93.33, 66.99
40.249, 6.3194, 103.0132, -0.6960, -0.4640, 93.44, 67.03
40.851, 7.4490, 98.0032, -0.5654, -0.3598, 93.50, 67.12
43.219, 7.8258, 98.8285, -0.6030, -0.3837, 93.77, 67.28
44.454, 5.7407, 99.1643, -0.6020, -0.8209, 92.81, 66.69
45.053, 5.5907, 97.0045, -0.5744, -0.4177, 92.48, 66.52
45.656, 5.4224, 98.5604, -0.5509, -0.3840, 92.55, 66.55
46.928, 6.2514, 98.9475, -0.4371, -0.4917, 93.03, 66.83
48.095, 7.7925, 99.2242, -0.6567, -0.3831, 93.79, 67.29
48.661, 6.8136, 96.7203, -0.6226, -0.3632, 93.05, 66.87
49.301, 7.2591, 101.1510, -0.6996, -0.2915, 93.70, 67.21
49.927, 8.7503, 97.3100, -0.5672, -0.3609, 94.09, 67.48
50.525, 9.1275, 96.4951, -0.5263, -0.4211, 94.20, 67.56
51.173, 7.7249, 98.4580, -0.4975, -0.5528, 93.71, 67.24
51.737, 8.5458, 95.4353, -0.4583, -0.4074, 93.81, 67.33
52.337, 8.7938, 100.5279, -0.5841, -0.4673, 94.44, 67.66
52.942, 7.0975, 100.2633, -0.6050, -0.4400, 93.56, 67.13
53.508, 6.3367, 99.7984, -0.5464, -0.3825, 93.13, 66.88
54.108, 5.3319, 102.7211, -0.5820, -0.4074, 92.92, 66.73
54.746, 5.6034, 101.4279, -0.5509, -0.4407, 92.93, 66.75
55.411, 4.6739, 97.5964, -0.4655, -0.4138, 92.09, 66.28
56.545, 7.4821, 93.7664, -0.5459, -0.4466, 93.11, 66.93
57.153, 7.6974, 94.2738, -0.5735, -0.4155, 93.26, 67.01
57.753, 7.2084, 96.5061, -0.6524, -0.3806, 93.23, 66.97
58.387, 7.5830, 98.2220, -0.5500, -0.3300, 93.59, 67.18
