経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.007, 4.5573, 64.1711, 6.6277, 2.1408, 113.18, 85.01
4.722, 4.6902, 81.6327, 5.9187, 2.6838, 113.54, 84.50
7.327, 3.2609, 54.3971, 3.2859, 1.7852, 108.02, 81.34
12.636, 1.4032, 61.9195, 2.2522, 1.3717, 117.51, 84.21
14.310, 4.9617, 77.9221, 4.5223, 2.8080, 114.08, 83.03
15.947, 4.6557, 82.1918, 5.7324, 2.1746, 108.14, 81.04
19.356, 5.0323, 71.2589, 5.6725, 1.8646, 103.87, 78.31
20.988, 4.3149, 78.4314, 6.6307, 1.8691, 104.99, 80.25
22.493, 4.3976, 78.4314, 6.1850, 1.8572, 105.28, 79.92
23.264, 4.2935, 74.1656, 5.3241, 1.8968, 108.27, 80.93
24.065, 3.9345, 87.0827, 5.4870, 1.7254, 107.31, 80.64
24.837, 4.0615, 77.4194, 5.6420, 2.0371, 108.84, 81.56
25.677, 4.5018, 74.6269, 5.8219, 2.0858, 107.40, 80.72
29.778, 2.3627, 66.4452, 3.4538, 2.5641, 122.85, 88.12
31.484, 4.4947, 77.9221, 5.5416, 2.1729, 108.37, 80.96
32.591, 3.2940, 71.1744, 3.3364, 1.2437, 107.38, 78.58
34.290, 3.0366, 95.0872, 2.5422, 2.4026, 121.84, 86.49
35.793, 2.9978, 81.9672, 3.3098, 0.7400, 105.71, 77.94
52.188, 4.8664, 68.6499, 5.5485, 1.9211, 107.34, 80.54
53.065, 4.8496, 66.5927, 5.3252, 1.7375, 103.26, 77.59
53.930, 4.5558, 66.5188, 4.8714, 1.8372, 105.06, 78.19
55.503, 4.8183, 69.5249, 5.3976, 1.7906, 102.50, 77.08
56.306, 3.8958, 77.3196, 6.6512, 2.0345, 106.70, 81.29
57.914, 4.2283, 75.2823, 6.3627, 1.8229, 104.23, 79.44
58.775, 4.4038, 77.0218, 5.5721, 1.9701, 105.83, 79.43
