経過時間_秒, subject_id, ref_SBP, ref_DBP, M1_A, M1_HR, M1_V2P_relTTP, M1_P2V_relTTP, M1_SBP, M1_DBP, M2_A, M2_HR, M2_V2P_relTTP, M2_P2V_relTTP, M2_Stiffness, M2_E, M2_SBP, M2_DBP, M3_A, M3_HR, M3_Mean, M3_Phi, M3_SBP, M3_DBP
0.007, subject_placeholder, , , 9.3099, 77.2255, -0.6008, -0.5579, 131.48, 95.91, 4.1935, 77.5194, -0.6008, -0.5579, 6.7869, 3.3143, 127.57, 99.18, 4.2604, 77.5194, 4.4408, 2.5299, 113.87, 83.08
3.944, subject_placeholder, , , 9.0268, 74.5830, -0.3966, -0.5156, 130.96, 98.47, 1.1678, 45.1467, -0.3966, -0.5156, 3.7302, 3.4518, 129.08, 97.09, 1.1689, 45.1807, 5.7579, 1.2804, 117.45, 85.14
4.645, subject_placeholder, , , 9.2595, 76.4101, -0.5170, -0.3864, 129.20, 97.61, 3.0653, 78.4314, -0.5170, -0.3864, 4.4901, 2.5646, 129.66, 98.74, 3.0366, 78.4314, 7.7079, 2.7489, 115.67, 88.07
5.346, subject_placeholder, , , 8.8348, 80.7952, -0.6129, -0.4243, 127.37, 98.01, 3.9302, 93.6037, -0.6129, -0.4243, 6.5532, 3.3055, 129.22, 97.64, 3.9063, 93.4579, 6.8875, 2.4935, 112.48, 85.13
6.013, subject_placeholder, , , 8.2862, 83.1245, -0.6120, -0.3766, 124.72, 99.36, 4.1193, 85.3485, -0.6120, -0.3766, 6.8125, 3.3565, 128.61, 97.87, 4.1095, 85.4701, 6.4273, 2.1416, 109.82, 83.10
6.748, subject_placeholder, , , 9.0935, 86.3428, -0.6422, -0.3458, 124.74, 101.01, 3.7601, 86.0832, -0.6422, -0.3458, 6.3052, 3.2516, 129.22, 97.33, 3.7502, 86.0832, 6.7593, 2.0810, 110.89, 84.32
7.487, subject_placeholder, , , 9.2444, 83.9217, -0.6286, -0.4041, 126.74, 99.73, 2.8785, 90.0901, -0.6286, -0.4041, 4.4602, 2.6289, 129.75, 96.90, 2.8392, 89.9550, 7.0268, 1.9615, 112.19, 85.68
8.252, subject_placeholder, , , 9.2444, 82.5905, -0.6260, -0.3577, 126.62, 99.14, 4.4259, 81.8554, -0.6260, -0.3577, 8.3014, 3.9460, 128.18, 97.78, 4.4370, 81.8554, 5.5013, 2.2918, 111.32, 82.86
8.965, subject_placeholder, , , 5.6013, 80.4033, -0.4295, -0.4739, 121.37, 100.23, 4.2295, 80.9717, -0.4295, -0.4739, 7.5217, 3.6574, 128.52, 97.38, 4.2238, 81.0811, 6.1833, 1.9475, 107.34, 81.27
9.665, subject_placeholder, , , 5.5746, 82.2911, -0.5562, -0.5098, 121.32, 98.69, 2.8535, 69.2042, -0.5562, -0.5098, 4.3181, 2.5562, 130.11, 98.21, 2.8257, 69.2042, 4.4895, 1.8847, 115.22, 84.79
10.386, subject_placeholder, , , 9.2617, 83.9678, -0.6129, -0.4243, 127.00, 100.02, 2.8513, 98.1997, -0.6129, -0.4243, 4.4941, 2.6615, 129.39, 98.37, 2.8742, 98.1997, 3.2662, 2.7785, 125.58, 89.59
11.129, subject_placeholder, , , 9.2617, 83.5329, -0.5942, -0.4114, 126.96, 100.17, 4.6086, 85.7143, -0.5942, -0.4114, 9.2626, 4.3147, 127.94, 98.00, 4.6170, 85.7143, 5.3361, 2.6685, 114.58, 84.53
11.832, subject_placeholder, , , 4.0832, 82.1760, -0.6671, -0.7561, 121.95, 95.18, 4.2478, 83.2178, -0.6671, -0.7561, 7.6884, 3.7304, 128.47, 97.83, 4.2363, 83.2178, 6.4544, 2.2018, 109.62, 82.92
12.565, subject_placeholder, , , 9.5597, 83.7322, -0.7511, -0.2817, 126.01, 97.65, 4.5264, 81.6327, -0.7511, -0.2817, 8.1054, 3.8097, 126.06, 101.04, 4.5321, 81.5217, 6.2724, 2.0768, 108.04, 81.74
13.259, subject_placeholder, , , 2.0706, 82.7832, -0.6303, -0.6303, 115.91, 95.99, 1.5337, 84.3882, -0.6303, -0.6303, 1.4822, 1.1968, 130.64, 95.99, 1.5058, 84.5070, 8.9043, 1.2484, 107.40, 85.37
14.033, subject_placeholder, , , 8.8592, 84.5794, -0.6657, -0.3329, 124.82, 99.46, 1.5337, 84.3882, -0.6657, -0.3329, 1.4822, 1.1968, 130.64, 95.99, 1.5058, 84.5070, 8.9043, 1.2484, 107.40, 85.37
14.735, subject_placeholder, , , 9.3228, 80.8412, -0.5535, -0.3832, 127.65, 99.51, 3.1726, 60.0000, -0.5535, -0.3832, 2.1318, 1.1968, 130.64, 95.99, 3.1807, 60.0000, 4.0408, 1.5150, 107.40, 85.37
15.471, subject_placeholder, , , 9.2719, 83.1488, -0.6591, -0.3766, 126.78, 98.76, 0.8687, 49.8339, -0.6591, -0.3766, 1.1155, 1.1968, 130.64, 95.99, 0.7908, 49.8339, 5.8652, 0.5391, 107.40, 85.37
16.937, subject_placeholder, , , 9.2409, 82.3272, -0.6726, -0.3587, 126.81, 98.05, 4.2341, 81.4111, -0.6726, -0.3587, 7.3923, 3.5925, 128.64, 97.34, 4.2264, 81.1908, 6.0772, 1.9273, 107.80, 81.48
17.676, subject_placeholder, , , 4.3091, 82.2594, -0.6329, -0.7233, 121.86, 96.09, 4.2538, 81.4111, -0.6329, -0.7233, 7.4479, 3.6111, 128.41, 97.31, 4.2534, 81.5217, 5.8586, 1.9636, 108.36, 81.58
18.374, subject_placeholder, , , 5.5635, 81.7216, -0.5805, -0.5359, 121.92, 97.79, 3.1747, 82.1918, -0.5805, -0.5359, 4.4094, 2.4747, 128.35, 99.38, 3.2006, 82.1918, 3.9816, 1.3044, 109.20, 80.59
19.149, subject_placeholder, , , 8.8972, 83.7872, -0.6146, -0.3782, 125.72, 99.89, 2.7785, 69.1244, -0.6146, -0.3782, 4.4806, 2.6880, 129.75, 98.97, 2.7676, 69.1244, 3.4190, 2.7146, 125.11, 89.51
19.892, subject_placeholder, , , 9.2260, 80.4775, -0.5535, -0.4258, 128.18, 99.14, 4.5478, 104.7120, -0.5535, -0.4258, 5.7324, 2.6880, 129.75, 98.97, 4.5500, 104.5296, 5.0449, 2.9997, 125.11, 89.51
20.647, subject_placeholder, , , 9.1424, 80.6154, -0.6218, -0.3997, 127.73, 97.90, 4.1450, 77.9221, -0.6218, -0.3997, 7.4006, 3.6350, 128.60, 98.00, 4.1564, 78.0234, 6.1493, 2.3493, 111.36, 83.61
24.454, subject_placeholder, , , 9.1691, 79.9853, -0.6984, -0.5238, 129.86, 95.64, 4.3439, 68.8863, -0.6984, -0.5238, 7.7439, 3.7155, 128.54, 98.99, 4.3158, 68.8863, 6.6881, 2.2898, 109.20, 82.81
27.633, subject_placeholder, , , 9.1566, 77.3626, -0.6180, -0.3296, 128.05, 96.29, 3.3132, 64.1711, -0.6180, -0.3296, 5.0936, 2.7983, 129.53, 98.58, 3.3060, 64.2398, 4.2498, 1.9565, 113.23, 83.02
28.371, subject_placeholder, , , 9.2832, 75.9220, -0.5727, -0.3689, 129.30, 96.27, 4.8030, 99.3377, -0.5727, -0.3689, 6.1327, 2.7983, 129.53, 98.58, 4.8310, 99.3377, 4.8447, 2.8722, 113.23, 83.02
29.168, subject_placeholder, , , 9.4046, 78.5194, -0.7602, -0.3577, 128.76, 94.13, 4.5476, 74.8130, -0.7602, -0.3577, 8.3757, 3.9276, 128.34, 97.63, 4.5551, 74.8130, 5.7909, 2.1920, 108.48, 81.33
