経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.018, 4.8329, 57.5264, 6.2684, 2.8288, 119.30, 88.84
12.348, 5.0748, 62.1762, 5.8901, 2.0599, 111.99, 84.09
13.349, 5.1462, 63.4921, 5.4145, 1.8649, 104.18, 78.22
14.286, 3.5441, 64.5856, 3.1447, 0.9597, 102.79, 75.44
17.085, 2.4944, 54.5951, 2.4784, 2.4501, 120.85, 85.64
27.540, 3.0662, 113.8520, 3.1189, 0.7973, 97.61, 73.76
29.184, 5.2050, 107.7199, 4.2672, 3.0615, 97.61, 73.76
46.051, 4.7610, 51.0204, 6.2404, 2.3611, 111.43, 83.77
47.024, 4.1785, 59.7015, 6.9014, 2.5407, 111.25, 84.23
51.263, 5.0124, 53.0035, 6.0066, 2.5522, 107.35, 80.39
53.005, 4.4616, 54.0541, 4.2570, 2.2775, 107.77, 78.84
54.010, 4.3790, 60.0000, 6.6514, 2.9786, 110.99, 83.25
55.042, 4.3764, 69.2841, 6.7995, 2.7224, 108.05, 81.64
56.109, 5.0237, 68.8073, 5.0556, 2.0631, 102.02, 76.02
57.116, 4.6254, 58.0271, 4.8133, 1.8954, 101.95, 75.85
58.048, 5.1426, 56.3380, 5.5137, 2.7059, 106.47, 78.99
59.055, 4.5804, 59.6421, 6.4146, 2.5873, 106.73, 80.40
