経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.024, 5.0936, 56.3380, 5.6687, 2.4235, 124.07, 90.94
4.732, 5.1659, 58.0271, 5.6025, 2.4770, 125.36, 92.29
6.664, 5.0569, 57.7478, 5.2249, 2.2093, 125.63, 87.52
8.233, 4.9034, 66.4452, 5.8865, 2.4749, 128.84, 90.41
9.141, 4.3944, 66.5188, 6.5981, 2.7885, 128.49, 91.71
10.001, 4.5621, 91.3242, 6.1463, 2.4673, 126.63, 87.95
10.869, 4.7513, 65.5738, 5.1514, 1.8322, 126.63, 87.95
11.810, 4.5245, 68.8073, 6.4704, 1.9538, 126.63, 87.95
12.785, 4.4904, 69.0449, 4.3157, 2.1364, 126.63, 87.95
13.651, 2.1263, 54.5455, 1.9724, 1.4728, 126.63, 87.95
14.611, 4.2739, 75.5668, 3.4335, 2.5519, 125.52, 88.45
16.295, 2.9380, 61.9835, 3.4720, 2.1700, 109.27, 73.67
17.264, 1.1032, 57.9151, 1.0317, 1.2084, 81.78, 47.49
18.125, 5.1442, 74.9064, 5.7176, 3.4562, 144.80, 107.46
19.062, 4.1068, 74.9064, 6.7739, 2.7014, 125.59, 88.39
20.702, 4.1728, 64.3087, 4.4883, 2.0106, 118.44, 78.88
24.044, 4.1493, 77.5194, 6.6374, 2.7636, 126.73, 89.69
24.848, 2.8359, 85.7143, 3.0889, 1.3567, 98.14, 60.39
25.809, 4.2425, 69.2042, 3.9141, 2.4935, 123.55, 87.14
26.719, 4.3680, 74.1656, 5.9097, 1.8244, 117.59, 76.68
27.553, 4.4084, 61.7284, 4.0936, 2.2977, 123.75, 85.09
28.386, 4.3828, 67.3401, 4.2924, 2.2113, 121.88, 83.48
30.189, 4.4648, 72.0288, 6.7239, 1.8795, 118.17, 77.86
31.052, 4.4536, 62.1762, 6.7361, 2.0323, 119.71, 80.18
31.987, 5.0103, 71.2589, 5.4896, 1.8328, 122.73, 81.20
32.862, 4.6045, 69.2042, 6.6548, 1.6003, 116.87, 74.42
33.799, 4.6460, 64.3777, 6.6105, 1.9525, 121.26, 80.24
34.732, 4.8131, 68.8863, 5.1960, 1.7835, 121.33, 79.24
37.608, 4.5276, 57.6369, 6.5547, 2.4185, 126.26, 86.80
38.446, 4.6705, 61.9195, 6.3080, 2.6035, 129.37, 90.74
40.346, 4.8328, 78.4314, 5.2887, 2.1007, 124.54, 84.31
41.313, 4.9946, 56.1798, 5.7582, 2.3354, 124.54, 84.31
42.190, 4.9496, 64.7249, 6.0378, 2.6490, 132.68, 93.39
43.190, 4.9366, 61.4754, 6.0447, 2.4776, 130.29, 90.61
44.056, 4.9269, 77.5194, 5.6035, 2.2836, 128.76, 87.68
51.644, 4.9155, 78.9474, 5.8043, 2.4944, 142.60, 109.65
52.543, 4.4367, 57.0885, 6.8004, 2.0422, 142.60, 109.65
55.452, 5.0704, 55.9701, 6.0715, 1.9791, 142.60, 109.65
