経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.032, 9.5328, 66.2521, -0.6622, -0.3311, 120.13, 76.68
0.398, 9.0369, 66.2021, -0.3627, -0.6185, 136.10, 98.58
1.303, 9.4599, 65.2771, -0.6019, -0.3541, 122.61, 80.10
2.264, 9.7418, 65.7838, -0.6928, -0.5105, 125.77, 80.66
3.137, 8.3304, 64.0656, -0.5151, -0.3434, 121.73, 79.97
4.067, 9.4175, 66.3152, -0.5292, -0.5292, 129.75, 88.74
5.010, 9.6935, 65.4033, -0.6376, -0.3903, 123.43, 80.09
5.876, 9.6935, 64.5028, -0.6288, -0.3499, 122.67, 79.33
6.878, 9.4000, 66.8080, -0.4573, -0.5716, 132.88, 93.73
8.581, 9.3303, 63.1547, -0.5928, -0.2635, 120.26, 77.32
11.295, 9.5800, 64.7931, -0.6220, -0.3293, 121.77, 78.75
12.187, 9.2533, 66.4443, -0.6375, -0.3375, 120.14, 77.13
13.096, 9.5230, 66.8147, -0.6652, -0.3695, 121.07, 77.61
14.098, 9.5230, 66.4082, -0.6535, -0.3267, 120.16, 77.01
15.800, 9.2385, 63.0086, -0.3956, -0.4615, 131.77, 92.87
16.667, 9.6367, 64.6813, -0.6213, -0.4020, 124.31, 80.96
17.501, 9.2481, 66.8291, -0.4562, -0.4942, 129.99, 91.11
18.386, 9.3414, 69.3316, -0.6735, -0.5546, 125.44, 81.87
19.274, 9.4586, 68.5947, -0.6719, -0.3360, 119.08, 76.34
20.180, 9.3555, 68.0387, -0.6310, -0.3330, 119.98, 77.97
21.081, 9.3336, 67.1197, -0.5828, -0.3642, 122.52, 81.18
21.916, 9.3336, 66.8551, -0.5860, -0.4029, 123.75, 82.02
22.785, 9.3320, 69.2656, -0.5928, -0.3557, 121.30, 80.71
24.487, 9.5060, 69.1152, -0.6448, -0.3414, 119.97, 78.19
25.387, 9.3131, 67.7922, -0.5854, -0.3659, 122.23, 81.10
26.254, 9.3154, 67.2247, -0.5133, -0.4033, 125.59, 85.90
27.223, 9.3878, 68.2001, -0.5709, -0.4567, 125.62, 84.69
28.792, 9.3278, 64.9082, -0.4427, -0.4427, 129.55, 90.45
29.669, 9.4573, 67.2502, -0.6907, -0.3837, 120.50, 76.44
30.598, 9.3487, 67.8276, -0.7149, -0.3763, 119.10, 74.62
31.504, 9.3639, 66.1669, -0.6039, -0.3197, 120.91, 78.82
32.408, 9.3988, 66.1595, -0.5458, -0.4730, 127.50, 86.23
33.275, 9.3327, 66.3020, -0.6578, -0.3289, 119.58, 76.10
34.170, 9.2053, 67.6838, -0.6832, -0.3041, 117.29, 73.78
35.049, 9.3371, 67.3599, -0.5162, -0.4782, 127.92, 87.88
35.941, 9.3942, 67.8450, -0.6765, -0.3007, 117.87, 74.78
36.784, 9.3483, 67.5535, -0.5919, -0.5179, 127.08, 85.00
37.653, 9.2841, 69.2767, -0.6647, -0.5083, 124.05, 80.85
38.519, 9.4314, 69.2005, -0.6463, -0.4942, 124.56, 82.00
39.323, 9.2777, 69.2422, -0.6097, -0.3430, 120.28, 79.25
40.229, 9.2877, 71.8338, -0.6978, -0.3271, 116.58, 74.53
41.091, 9.3304, 68.8760, -0.6549, -0.3638, 119.97, 77.56
41.999, 9.2675, 69.2389, -0.6891, -0.3063, 116.90, 73.98
42.859, 9.2716, 67.6603, -0.6185, -0.3275, 120.02, 78.11
43.802, 9.3710, 68.6584, -0.7282, -0.3449, 117.54, 73.26
44.759, 9.4919, 66.0832, -0.6656, -0.3153, 119.47, 75.88
45.568, 7.9345, 64.3450, -0.4828, -0.3448, 121.43, 80.26
46.468, 7.9345, 68.9072, -0.5711, -0.4079, 119.59, 77.92
47.277, 9.5345, 67.7302, -0.5860, -0.4029, 124.06, 82.91
51.879, 9.5095, 70.8438, -0.7760, -0.3676, 116.67, 72.16
52.719, 8.8694, 66.4108, -0.5146, -0.3438, 122.61, 82.39
53.625, 9.3346, 68.8679, -0.5113, -0.5900, 131.15, 91.39
54.561, 9.3346, 67.5207, -0.4735, -0.3278, 124.24, 86.08
55.394, 9.1830, 65.7312, -0.5987, -0.3170, 120.57, 78.27
56.358, 9.2618, 68.7755, -0.7536, -0.3173, 115.60, 70.75
57.258, 9.6227, 65.3451, -0.6504, -0.3423, 121.36, 77.82
58.227, 9.2944, 65.9993, -0.6967, -0.2933, 117.36, 72.86
59.136, 9.3424, 63.8943, -0.5789, -0.4768, 127.25, 84.02
