経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.005, 9.3814, 74.6823, -0.7267, -0.4275, 118.37, 76.48
1.014, 9.2964, 74.6823, -0.6412, -0.4275, 120.47, 80.72
1.816, 9.2530, 73.1528, -0.5914, -0.3943, 121.13, 82.09
3.513, 9.6494, 73.9735, -0.5349, -0.4526, 125.45, 88.32
5.224, 9.3270, 76.1373, -0.6039, -0.5608, 125.39, 86.66
6.029, 9.2222, 78.6859, -0.7612, -0.3582, 113.50, 72.72
14.640, 9.2949, 76.6027, -0.6144, -0.4104, 120.07, 81.95
22.324, 9.3703, 75.7450, -0.5356, -0.3708, 121.46, 85.24
23.934, 9.3588, 78.6302, -0.6294, -0.4946, 121.89, 83.98
30.441, 9.2503, 79.7838, -0.5789, -0.5344, 123.88, 87.50
33.019, 6.8330, 83.2159, -0.7174, -0.6696, 116.25, 75.08
33.818, 9.0156, 78.5332, -0.6134, -0.8587, 132.98, 93.43
34.587, 9.0156, 76.7750, -0.6195, -0.3717, 117.82, 79.59
35.495, 9.3211, 77.3443, -0.7286, -0.3429, 114.62, 74.23
37.125, 9.3423, 71.2694, -0.6178, -0.2907, 117.95, 77.93
37.960, 9.3755, 68.9704, -0.5880, -0.3675, 122.03, 81.41
38.828, 9.3764, 70.3838, -0.6719, -0.3557, 118.91, 76.82
39.705, 9.4403, 69.7079, -0.6076, -0.3418, 120.63, 80.02
40.571, 9.4136, 69.0554, -0.6397, -0.3763, 120.97, 79.05
41.476, 9.5360, 69.2095, -0.6867, -0.3422, 118.90, 76.10
42.374, 9.2646, 67.7226, -0.6564, -0.3282, 118.96, 76.10
44.143, 9.3797, 67.2658, -0.5880, -0.4410, 124.92, 83.19
45.046, 9.0610, 72.3771, -0.8616, -0.3016, 110.43, 64.31
45.977, 5.6166, 69.2444, -0.6560, -0.5111, 113.66, 67.41
46.888, 8.4881, 66.7967, -0.6032, -0.8516, 135.13, 90.10
47.721, 8.3883, 66.2893, -0.5428, -0.3618, 121.04, 79.53
48.557, 9.3600, 69.0797, -0.6346, -0.3966, 121.60, 79.68
49.423, 9.4310, 70.3993, -0.6711, -0.3553, 119.07, 77.06
50.261, 9.4434, 69.8372, -0.6478, -0.3430, 119.53, 77.94
51.124, 9.2292, 70.6655, -0.6687, -0.3540, 118.43, 76.43
52.829, 9.4761, 70.1315, -0.5742, -0.3828, 122.83, 83.11
54.604, 9.3853, 75.6842, -0.8137, -0.3616, 113.58, 70.21
55.408, 9.3348, 72.1255, -0.6062, -0.3031, 118.38, 78.98
56.273, 9.1889, 73.3548, -0.7276, -0.8619, 132.05, 87.35
57.976, 9.4723, 71.3037, -0.5341, -0.4578, 125.95, 87.45
58.809, 9.4723, 74.6979, -0.6039, -0.3882, 120.76, 82.31
