経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.005, 4.4811, 78.1250, 6.3893, 2.1935, 121.14, 83.03
1.014, 4.6167, 68.9655, 6.3749, 1.7120, 116.70, 76.37
1.816, 4.7802, 63.9659, 6.1467, 1.9090, 120.86, 80.62
3.513, 4.7613, 74.6269, 5.3786, 2.1360, 123.26, 84.36
5.224, 4.8070, 77.8210, 5.5677, 2.2638, 124.70, 86.59
6.029, 4.2956, 61.9195, 6.4695, 2.2737, 119.52, 83.03
14.640, 4.3562, 73.8916, 6.5251, 1.6502, 113.16, 73.63
22.324, 4.5173, 66.8151, 4.0715, 2.2256, 121.83, 84.68
23.934, 4.1339, 80.4290, 6.5976, 1.9292, 113.99, 76.52
30.441, 4.6745, 77.6197, 5.3142, 1.9787, 119.37, 81.35
33.019, 4.3679, 71.0900, 4.9198, 1.7997, 113.76, 76.68
33.818, 3.1672, 64.9351, 3.2415, 2.0360, 106.76, 73.16
34.587, 3.9767, 74.3494, 3.5802, 2.5158, 120.15, 85.88
35.495, 4.6837, 74.7198, 5.4644, 2.3138, 123.92, 86.61
37.125, 4.9534, 66.2252, 5.0534, 2.3149, 127.73, 88.56
37.960, 3.7665, 81.7439, 6.7980, 1.5930, 108.73, 68.75
38.828, 4.9325, 66.3717, 4.5957, 2.1897, 126.30, 86.64
39.705, 4.7881, 72.2022, 5.1928, 2.0409, 123.32, 83.12
40.571, 4.7651, 68.5714, 5.2849, 1.9941, 122.68, 82.20
41.476, 4.8174, 69.2042, 5.5330, 2.1017, 124.37, 84.13
42.374, 4.9063, 66.8151, 5.0826, 1.8876, 123.02, 81.53
44.143, 4.0959, 112.1495, 4.7251, 0.2317, 123.02, 81.53
45.046, 2.8383, 43.7318, 6.1102, 1.1607, 123.02, 81.53
45.977, 4.4832, 78.0234, 5.4879, 1.7674, 117.38, 76.71
46.888, 3.1499, 66.5927, 3.6351, 1.5391, 103.23, 65.10
47.721, 3.5689, 63.8298, 3.5460, 2.1765, 114.68, 77.89
48.557, 5.0346, 67.1141, 5.0107, 2.2744, 128.47, 88.47
49.423, 3.3430, 71.4286, 7.6118, 1.6306, 104.93, 66.23
50.261, 4.4068, 71.6846, 6.2549, 1.8901, 117.93, 77.83
51.124, 4.5825, 69.4444, 5.9395, 1.7662, 117.93, 77.16
52.829, 4.1908, 69.4444, 6.0602, 1.8046, 114.91, 75.15
54.604, 2.5589, 49.6278, 5.6910, 6.0597, 114.91, 75.15
55.408, 4.4692, 66.5188, 4.4008, 2.1522, 121.27, 83.08
56.273, 4.5179, 69.2042, 5.0199, 1.8667, 118.03, 78.68
57.976, 4.4271, 69.1244, 4.2234, 2.0652, 120.06, 81.51
58.809, 4.7443, 63.8298, 5.7847, 2.3452, 125.38, 87.37
