経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.004, 9.3168, 80.0261, -0.5586, -0.4297, 112.81, 83.54
0.663, 9.3490, 79.1163, -0.6023, -0.4289, 111.61, 81.86
1.396, 9.3113, 78.6175, -0.6016, -0.8164, 115.46, 83.40
2.202, 9.2639, 80.1502, -0.6294, -0.3597, 110.81, 81.15
3.010, 9.3936, 77.1906, -0.5323, -0.4094, 111.98, 83.16
3.734, 9.3135, 75.7434, -0.4907, -0.4498, 112.65, 84.09
4.516, 8.9845, 79.1479, -0.5925, -0.4558, 112.21, 82.41
5.313, 8.9845, 77.9689, -0.5493, -0.4225, 112.23, 83.13
6.044, 9.0849, 76.5532, -0.4549, -0.4962, 114.20, 85.75
6.775, 9.3993, 79.2200, -0.5404, -0.4966, 113.51, 84.06
7.548, 9.3990, 80.5702, -0.5861, -0.4495, 112.68, 82.97
8.327, 9.4519, 79.0674, -0.5550, -0.4269, 112.44, 83.23
9.047, 9.0651, 78.0820, -0.5501, -0.4242, 112.24, 83.13
10.394, 4.3984, 80.5681, -0.4577, -0.6865, 119.23, 89.59
11.829, 9.2464, 84.2867, -0.6804, -0.3888, 111.75, 81.29
12.502, 8.8841, 79.0589, -0.4504, -0.4094, 114.43, 86.52
13.296, 8.8841, 83.8617, -0.5402, -0.4420, 114.92, 85.73
13.995, 9.2266, 79.4984, -0.4572, -0.4572, 114.85, 86.57
14.763, 9.3111, 82.4894, -0.6129, -0.4714, 113.17, 83.00
15.539, 9.2377, 80.3016, -0.5593, -0.4302, 112.94, 83.65
17.066, 8.6250, 78.7824, -0.4678, -0.4678, 114.68, 86.23
17.769, 4.0875, 82.3841, -0.5223, -0.7597, 119.57, 88.73
19.105, 4.1441, 83.8401, -0.5619, -0.5164, 116.84, 87.00
19.781, 4.2526, 84.4685, -0.5617, -0.4213, 116.07, 86.79
20.479, 8.1745, 86.5599, -0.5370, -0.3905, 115.73, 86.85
21.147, 8.1745, 86.2588, -0.5201, -0.4728, 116.79, 87.61
21.914, 9.4392, 88.0036, -0.6422, -0.4446, 114.43, 84.01
22.684, 9.1614, 82.8277, -0.5163, -0.4302, 114.76, 85.92
23.385, 8.6904, 80.3000, -0.4286, -0.4701, 116.02, 87.97
25.657, 7.5821, 82.8616, -0.4708, -0.5649, 117.56, 88.44
26.357, 8.3683, 83.9690, -0.4681, -0.5149, 117.26, 88.45
27.128, 8.4092, 84.8327, -0.5186, -0.5186, 116.66, 87.24
27.802, 7.4910, 81.2307, -0.4714, -0.5143, 116.42, 87.62
30.472, 9.3026, 84.9475, -0.5386, -0.4881, 115.71, 86.25
31.204, 9.2355, 86.9995, -0.5394, -0.4413, 116.03, 86.81
31.839, 8.3523, 84.4084, -0.4057, -0.4959, 118.43, 90.43
32.473, 9.0915, 89.1643, -0.5717, -0.5197, 117.12, 87.03
34.706, 8.8545, 91.8193, -0.6246, -0.5205, 117.23, 86.50
35.441, 9.2754, 86.8648, -0.5893, -0.4533, 115.14, 85.28
36.183, 9.5034, 84.2266, -0.5845, -0.4046, 113.63, 84.15
36.958, 9.0856, 82.4536, -0.5774, -0.3997, 113.16, 83.83
37.651, 9.1758, 79.9636, -0.5550, -0.3842, 112.43, 83.48
39.225, 8.4108, 83.0829, -0.5231, -0.5231, 115.94, 86.47
39.992, 8.2918, 82.2949, -0.4932, -0.4932, 115.94, 86.99
40.659, 5.9162, 80.2630, -0.4308, -0.5170, 117.37, 89.03
41.403, 8.8209, 84.7731, -0.5434, -0.4940, 115.78, 86.22
42.099, 9.3466, 82.7146, -0.4886, -0.4886, 115.79, 86.91
42.828, 9.0544, 84.4247, -0.5216, -0.4741, 115.77, 86.59
43.525, 9.1458, 83.3511, -0.4979, -0.4979, 116.02, 86.98
44.228, 9.2195, 84.6354, -0.5673, -0.4728, 114.91, 85.22
45.771, 9.2746, 84.9905, -0.5633, -0.4225, 114.59, 85.24
46.507, 9.0797, 83.1623, -0.5373, -0.4478, 114.70, 85.52
47.270, 9.3623, 82.3338, -0.5829, -0.4484, 113.43, 83.73
47.973, 8.9449, 80.4430, -0.4758, -0.4325, 114.70, 86.34
48.741, 9.0950, 82.8232, -0.5633, -0.4694, 114.29, 84.69
49.439, 9.2344, 80.4055, -0.4727, -0.4727, 115.07, 86.50
50.107, 8.6773, 83.0900, -0.5673, -0.4728, 114.49, 84.82
50.880, 9.0216, 86.3242, -0.5928, -0.3952, 114.35, 84.81
51.553, 9.3891, 81.7408, -0.4696, -0.4696, 115.56, 87.03
52.326, 9.1845, 85.2862, -0.6374, -0.4413, 113.52, 83.21
53.060, 8.8818, 81.2725, -0.4696, -0.4269, 115.10, 86.84
53.788, 9.2509, 81.5075, -0.5395, -0.4496, 113.98, 84.78
54.525, 9.3335, 81.9600, -0.5893, -0.4533, 113.22, 83.43
55.261, 9.0035, 81.6847, -0.5821, -0.4030, 112.84, 83.44
56.866, 8.2849, 81.6031, -0.5380, -0.4932, 114.82, 85.38
57.563, 7.7498, 79.7731, -0.4720, -0.4720, 115.32, 86.78
