経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.004, 4.6814, 77.9221, 5.6543, 2.4530, 110.76, 82.47
0.663, 4.6814, 77.9221, 5.6543, 2.4530, 110.76, 82.47
1.396, 4.5112, 77.8210, 5.9633, 2.2563, 108.98, 81.82
2.202, 4.3861, 78.7402, 5.4822, 1.9409, 107.73, 80.70
3.010, 4.6071, 80.6452, 4.9917, 2.2017, 109.33, 80.94
3.734, 4.6910, 75.4717, 5.4049, 2.2513, 108.44, 80.76
4.516, 4.7020, 74.4417, 5.5783, 2.3718, 110.07, 81.99
5.313, 4.3991, 81.1908, 6.2048, 2.3757, 109.94, 82.65
6.044, 4.1046, 78.2269, 6.4687, 2.3044, 109.62, 82.82
6.775, 4.6439, 75.2823, 6.1133, 2.4927, 110.55, 82.84
7.548, 3.6187, 81.9672, 6.9089, 2.3209, 111.89, 84.93
8.327, 4.1363, 81.6327, 5.9928, 2.2637, 110.53, 82.92
9.047, 4.6995, 77.4194, 5.1352, 2.2479, 109.40, 81.11
10.394, 4.7156, 81.8554, 5.0763, 2.4892, 112.25, 82.78
11.829, 4.6925, 89.6861, 4.7194, 2.8831, 117.43, 85.55
12.502, 4.3504, 94.3396, 5.6558, 2.3912, 111.42, 83.00
13.296, 4.1935, 74.9064, 4.5203, 2.3428, 114.60, 83.91
13.995, 4.6176, 88.8889, 5.2767, 2.5116, 112.24, 82.98
14.763, 4.5859, 75.5668, 5.9317, 2.2871, 110.00, 82.46
15.539, 3.6698, 84.7458, 6.6950, 2.3552, 112.29, 84.91
17.066, 4.2521, 78.3290, 6.0951, 2.1417, 108.74, 81.93
17.769, 3.8229, 71.9424, 4.7687, 2.1680, 113.63, 83.72
19.105, 1.8466, 85.1064, 2.5787, 2.8018, 130.73, 92.33
19.781, 4.5778, 95.5414, 5.9649, 3.3363, 120.04, 88.39
20.479, 2.0629, 85.1064, 8.0858, 2.6463, 120.31, 91.90
21.147, 1.7018, 89.1530, 8.4814, 2.3258, 118.04, 91.14
21.914, 2.8760, 86.4553, 7.4302, 2.5323, 117.63, 89.36
22.684, 4.6028, 88.3652, 5.5415, 2.4989, 112.58, 83.57
23.385, 4.2797, 78.6370, 4.9987, 2.2817, 112.06, 82.77
25.657, 4.2711, 85.9599, 6.1807, 2.3288, 111.25, 83.60
26.357, 3.6380, 69.1244, 4.5569, 2.1197, 114.62, 84.21
27.128, 3.6963, 86.0832, 4.2730, 2.9999, 123.10, 88.84
27.802, 3.8251, 84.9858, 4.1335, 2.8674, 120.74, 87.16
30.472, 1.1139, 95.3895, 1.6571, 1.5072, 123.44, 87.51
31.204, 0.6494, 64.1711, 1.0747, 0.9252, 123.44, 87.51
31.839, 1.1500, 54.2005, 6.1902, 0.0817, 123.44, 87.51
32.473, 3.7968, 82.3045, 5.2708, 2.4703, 117.37, 86.62
34.706, 2.7863, 65.2884, 4.0905, 2.0369, 114.07, 84.78
35.441, 4.3939, 102.9160, 4.6146, 3.0555, 120.94, 87.69
36.183, 4.4805, 81.6327, 4.9625, 2.5192, 114.51, 84.19
36.958, 4.5872, 81.7439, 5.3125, 2.2160, 110.33, 82.02
37.651, 4.5870, 80.9717, 5.1704, 2.1529, 109.37, 81.24
39.225, 4.5413, 86.0832, 5.6741, 2.1527, 109.50, 81.95
39.992, 3.7056, 72.0288, 4.7877, 2.1333, 113.70, 83.82
40.659, 3.6686, 81.5217, 4.0356, 2.8671, 121.24, 87.39
41.403, 2.6189, 79.2602, 3.2790, 2.8497, 127.37, 90.78
42.099, 4.1697, 89.8204, 4.4867, 2.9843, 120.31, 87.16
42.828, 4.7307, 80.3213, 5.7500, 2.9185, 115.99, 85.75
43.525, 4.6435, 86.7052, 5.8564, 2.5290, 112.32, 83.74
44.228, 4.1637, 80.5369, 6.5347, 2.4588, 112.72, 84.91
45.771, 4.4656, 85.5920, 5.8653, 2.2774, 111.09, 83.16
46.507, 4.5301, 74.5342, 5.5468, 2.1347, 109.61, 81.89
47.270, 4.5810, 82.3045, 5.6586, 2.4209, 111.64, 83.13
47.973, 4.3922, 80.7537, 5.8659, 2.4403, 111.72, 83.42
48.741, 4.1849, 77.8210, 4.9769, 2.2534, 112.82, 83.31
49.439, 4.6890, 87.0827, 5.4774, 2.6105, 112.77, 83.50
50.107, 4.1939, 78.2269, 6.5034, 2.5145, 112.78, 84.85
50.880, 4.0320, 83.7989, 6.6330, 2.4919, 113.78, 85.74
51.553, 3.1656, 91.7431, 7.1202, 2.1229, 111.75, 85.30
52.326, 4.3179, 76.5306, 6.3602, 2.5813, 113.70, 85.26
53.060, 4.4238, 91.0470, 6.2285, 2.3320, 110.24, 82.94
53.788, 4.2537, 78.8436, 6.2440, 2.3331, 110.92, 83.43
54.525, 3.7560, 81.3008, 6.8012, 2.4473, 113.05, 85.48
55.261, 3.5798, 81.5217, 7.0652, 2.1616, 110.61, 84.40
56.866, 4.1676, 81.4111, 4.0250, 2.4751, 116.14, 84.23
57.563, 3.8408, 72.2022, 4.2622, 2.3728, 115.60, 84.25
