経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.017, 4.7756, 74.9064, 5.3155, 2.2061, 110.09, 81.87
7.123, 4.7775, 70.0117, 5.8058, 2.4408, 111.43, 83.15
7.959, 4.4400, 71.4286, 6.4258, 2.5382, 111.28, 83.68
8.734, 4.1224, 74.6269, 6.7442, 2.4928, 110.55, 83.60
9.498, 4.4244, 72.2892, 6.5276, 2.3011, 108.27, 81.95
10.337, 4.4373, 77.6197, 6.3183, 2.3797, 109.53, 82.50
11.105, 4.7628, 78.0234, 5.2877, 2.2865, 108.34, 80.51
11.935, 4.6817, 72.4638, 5.4724, 2.1655, 107.70, 80.42
12.714, 4.5571, 76.1421, 5.5387, 2.2954, 108.74, 81.08
13.512, 4.8357, 73.3496, 5.3419, 2.4517, 109.78, 81.41
14.315, 4.5193, 77.4194, 6.0821, 2.4082, 109.35, 82.05
15.088, 4.3382, 75.6620, 6.3185, 2.3667, 109.19, 82.26
15.946, 4.4369, 74.1656, 6.1844, 2.2455, 108.24, 81.57
16.783, 4.3564, 78.5340, 6.2130, 2.1115, 106.44, 80.49
17.550, 4.7309, 69.0449, 5.5835, 2.2462, 107.10, 80.04
18.387, 4.7275, 71.5990, 5.6805, 2.3174, 108.32, 80.93
19.186, 4.4701, 78.1250, 6.0243, 2.2958, 108.10, 81.22
20.056, 4.7704, 71.0900, 5.3455, 2.1678, 107.09, 79.83
21.764, 4.6630, 68.9655, 5.3611, 2.0109, 105.37, 78.81
23.231, 4.1244, 74.8130, 4.1587, 2.5288, 114.47, 83.16
23.967, 4.6502, 85.8369, 5.6840, 2.6368, 111.62, 82.90
24.700, 3.3735, 78.2269, 7.1100, 2.5629, 114.18, 86.51
25.566, 4.0207, 81.6327, 6.7009, 2.4859, 112.11, 84.65
26.403, 4.5088, 81.7439, 5.7003, 2.1336, 107.22, 80.39
29.447, 4.7712, 88.4956, 4.7215, 2.7506, 113.11, 82.65
35.198, 2.9224, 62.8931, 3.0993, 2.3652, 119.77, 85.75
35.930, 4.8916, 92.1659, 4.7856, 2.9187, 119.77, 85.75
36.694, 4.4897, 69.0449, 6.1380, 2.5433, 110.91, 83.06
39.736, 3.6191, 85.9599, 3.7851, 3.0268, 122.63, 87.88
42.456, 1.8675, 93.1677, 8.2047, 2.7054, 119.28, 91.25
43.182, 2.5992, 95.6938, 7.2217, 2.4345, 115.93, 88.01
43.981, 4.5750, 81.3008, 5.1949, 2.4851, 112.64, 83.20
44.715, 4.4022, 81.5217, 4.9479, 2.2396, 110.68, 81.79
45.417, 4.0140, 74.6269, 4.6586, 2.4521, 115.02, 84.24
46.114, 4.4659, 82.0793, 4.3342, 2.5864, 115.77, 84.24
46.820, 4.5054, 85.8369, 5.3025, 2.3360, 112.19, 83.18
47.520, 4.6548, 85.2273, 5.5456, 2.5026, 112.85, 83.76
48.288, 3.9528, 84.3882, 6.5702, 2.3720, 112.81, 85.11
49.962, 4.6922, 77.3196, 5.0153, 2.0402, 108.57, 80.61
50.764, 4.3161, 66.5927, 4.2448, 2.1154, 111.50, 81.64
51.564, 4.2302, 78.1250, 4.4692, 2.4576, 113.95, 83.25
52.366, 4.5636, 74.8130, 4.5315, 2.3158, 111.01, 81.43
53.966, 4.3938, 74.4417, 6.1876, 2.4348, 109.91, 82.54
55.604, 4.3349, 77.1208, 6.3265, 2.3271, 109.35, 82.43
56.307, 4.3810, 72.9927, 6.4393, 2.3575, 108.98, 82.28
57.079, 4.4857, 75.0939, 6.4494, 2.4468, 110.48, 83.25
57.880, 2.7991, 85.4701, 7.4549, 2.3830, 114.27, 87.19
58.715, 4.5638, 77.6197, 5.8028, 2.3329, 109.33, 81.78
