経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.019, 8.4338, 89.5790, -0.5442, -0.4948, 124.02, 104.20
0.504, 9.3528, 89.8338, -0.4955, -0.5435, 126.32, 105.47
1.171, 9.0338, 87.5337, -0.3755, -0.5633, 126.61, 106.35
3.646, 8.1554, 88.7935, -0.4459, -0.4955, 123.58, 105.60
4.916, 8.9009, 94.3600, -0.6091, -0.4430, 122.53, 106.02
5.619, 9.0687, 89.8296, -0.4714, -0.4714, 124.73, 106.07
6.857, 7.4106, 87.4679, -0.4688, -0.2813, 119.73, 104.77
7.557, 9.1928, 86.4575, -0.4231, -0.4231, 125.52, 105.25
8.190, 5.4250, 86.0843, -0.4700, -0.5657, 120.16, 102.42
9.358, 9.4521, 90.2261, -0.6256, -0.2607, 122.78, 103.99
10.868, 5.6409, 95.3141, -0.5556, -0.5556, 117.08, 106.23
11.531, 6.5017, 90.0564, -0.3755, -0.5164, 119.94, 107.14
12.171, 6.1668, 90.2087, -0.3976, -0.5964, 120.34, 106.44
12.768, 7.6709, 92.0158, -0.4648, -0.5681, 122.40, 106.74
13.434, 9.4546, 96.0721, -0.6633, -0.4975, 123.83, 105.96
14.109, 3.2297, 92.9130, -0.5937, -0.5427, 113.08, 103.31
15.484, 8.0134, 90.9252, -0.3917, -0.5386, 122.96, 107.76
16.186, 7.5148, 92.2451, -0.4633, -0.5663, 121.97, 106.86
19.352, 7.3931, 88.9257, -0.3777, -0.4721, 121.56, 106.86
20.051, 9.2567, 94.0645, -0.6040, -0.5491, 124.79, 105.74
20.721, 9.3202, 89.6955, -0.5186, -0.4714, 125.38, 105.14
21.426, 9.2109, 89.6908, -0.4933, -0.4439, 124.74, 105.69
24.135, 8.8941, 87.3385, -0.4213, -0.5149, 125.83, 105.43
24.826, 9.3412, 92.3089, -0.5922, -0.4845, 124.74, 105.17
26.769, 8.6537, 89.4194, -0.4769, -0.4292, 123.50, 105.72
27.409, 4.8440, 94.0442, -0.5455, -0.4364, 114.33, 105.79
28.106, 9.1504, 93.9704, -0.5681, -0.4648, 123.40, 106.62
28.771, 9.1034, 89.8541, -0.5208, -0.4735, 124.91, 105.11
30.709, 6.5408, 90.0394, -0.6451, -0.4962, 120.27, 101.83
31.350, 8.4191, 92.9962, -0.6346, -0.4231, 121.87, 104.61
32.018, 7.4191, 93.2265, -0.6168, -0.3598, 118.89, 104.96
32.720, 8.8850, 91.5616, -0.4453, -0.3958, 122.62, 107.78
33.352, 9.1246, 88.4110, -0.5171, -0.5641, 126.74, 104.07
34.054, 9.1867, 91.5577, -0.6266, -0.4177, 123.87, 104.19
34.786, 6.2232, 88.4092, -0.5171, -0.5171, 120.30, 103.26
36.104, 9.1109, 85.0664, -0.4959, -0.4057, 125.80, 103.00
38.063, 8.4117, 84.4279, -0.5070, -0.4609, 125.42, 102.01
38.730, 8.4117, 86.9776, -0.5426, -0.4439, 124.28, 102.85
39.936, 9.2217, 88.5065, -0.5450, -0.3468, 123.99, 104.25
40.637, 9.1127, 91.0528, -0.5156, -0.5672, 125.74, 105.64
41.273, 9.1484, 88.2380, -0.5178, -0.3766, 124.30, 104.53
41.905, 7.6235, 91.1869, -0.6226, -0.5189, 122.26, 103.24
42.612, 5.8441, 93.0240, -0.5744, -0.3655, 115.82, 105.15
43.341, 9.0638, 88.7577, -0.4668, -0.4668, 125.06, 105.55
44.440, 6.5737, 85.4094, -0.5432, -0.3169, 119.48, 101.69
45.119, 8.8169, 92.3433, -0.6080, -0.3317, 121.63, 105.16
45.746, 6.7161, 90.3105, -0.5346, -0.4374, 119.50, 104.42
46.421, 7.7920, 92.9242, -0.5789, -0.4211, 120.51, 105.48
48.221, 7.6562, 90.8618, -0.5378, -0.4889, 121.88, 104.84
48.820, 9.2000, 95.2121, -0.6050, -0.3850, 122.01, 106.87
49.491, 5.9023, 97.6267, -0.6060, -0.6060, 117.49, 106.52
50.729, 8.1136, 93.3427, -0.5410, -0.3934, 120.55, 106.67
51.327, 8.1978, 91.2691, -0.5893, -0.4420, 122.26, 104.37
51.992, 9.1471, 95.5113, -0.6060, -0.4407, 122.55, 106.84
53.872, 5.0305, 92.7932, -0.4466, -0.4962, 115.81, 106.91
54.437, 4.4883, 95.5719, -0.5944, -0.4877, 113.83, 105.44
55.105, 4.4883, 100.6037, -0.6407, -0.3504, 110.12, 107.88
55.738, 4.5381, 94.8317, -0.4439, -0.5426, 114.67, 107.86
56.339, 8.9255, 94.8842, -0.4699, -0.5222, 123.19, 108.87
56.906, 6.9302, 97.2172, -0.6030, -0.4934, 118.17, 107.02
58.211, 9.0111, 101.3364, -0.4656, -0.6402, 122.48, 112.42
58.810, 9.2017, 100.5794, -0.5491, -0.5491, 122.08, 110.64
