経過時間_秒, A, HR, Mean, Phi, SBP, DBP
0.019, 4.6848, 89.8204, 5.6505, 3.0107, 118.51, 87.30
0.504, 4.6848, 89.8204, 5.6505, 3.0107, 118.51, 87.30
1.171, 3.2642, 80.9717, 7.3044, 2.5660, 116.56, 88.42
3.646, 3.1095, 105.0788, 4.5379, 2.2416, 118.95, 87.09
4.916, 4.1804, 99.6678, 5.2208, 2.7917, 120.23, 88.23
5.619, 4.3606, 106.3830, 5.5107, 2.7173, 117.28, 86.59
6.857, 3.9860, 87.3362, 6.7313, 2.8431, 117.28, 87.93
7.557, 3.3637, 109.2896, 7.0339, 2.5397, 116.12, 87.81
8.190, 3.6734, 87.3362, 6.7866, 2.4578, 114.51, 86.47
9.358, 2.4237, 96.0000, 7.6730, 2.6312, 120.40, 91.48
10.868, 2.7544, 99.6678, 3.5784, 1.5646, 117.28, 85.50
11.531, 2.4875, 75.0939, 3.2387, 2.5771, 117.28, 85.50
12.171, 2.9063, 85.4701, 3.4746, 2.8951, 127.74, 91.24
12.768, 2.8503, 89.6861, 3.6763, 3.3354, 132.10, 94.06
13.434, 3.6342, 94.4882, 4.4930, 3.2729, 128.27, 92.45
14.109, 4.7033, 100.1669, 5.2460, 2.8426, 118.32, 86.87
15.484, 2.5262, 90.3614, 3.5036, 2.4826, 125.54, 90.18
16.186, 3.4885, 81.9672, 4.3634, 2.8758, 124.45, 90.04
19.352, 2.6258, 112.1495, 5.0545, 1.5601, 113.76, 84.82
20.051, 3.0774, 78.0234, 4.5612, 2.5203, 113.76, 84.82
20.721, 4.5499, 98.0392, 4.9763, 2.9936, 119.91, 87.48
21.426, 4.5375, 86.9565, 5.7120, 2.5895, 115.09, 85.44
24.135, 4.2626, 90.2256, 6.4730, 2.5318, 113.78, 85.51
24.826, 4.3230, 74.3494, 4.8151, 2.3945, 116.21, 85.35
26.769, 3.7013, 78.0234, 4.9424, 2.6796, 120.23, 88.00
27.409, 4.3136, 105.6338, 5.1926, 3.2045, 123.46, 90.01
28.106, 2.3470, 99.8336, 3.5201, 2.6008, 128.03, 91.82
28.771, 4.7100, 94.7867, 5.1086, 2.8650, 117.96, 86.42
30.709, 3.2334, 112.5704, 4.3682, 2.4256, 120.75, 87.94
31.350, 4.4127, 78.0234, 5.5032, 2.5717, 120.75, 87.94
32.018, 3.8085, 94.9367, 6.6976, 2.4555, 115.90, 87.36
32.720, 3.3528, 94.6372, 7.1670, 2.0618, 112.85, 86.22
33.352, 3.1385, 88.8889, 7.0002, 2.3906, 116.14, 87.95
34.054, 4.3780, 85.8369, 6.2879, 2.9252, 118.29, 88.02
34.786, 4.3429, 92.7357, 6.0744, 2.4051, 113.23, 84.78
36.104, 3.3580, 81.6327, 4.4562, 2.8039, 122.35, 88.75
38.063, 3.6691, 106.3830, 4.8592, 2.5124, 117.71, 86.31
38.730, 4.6063, 81.6327, 5.5952, 2.7076, 117.71, 86.31
39.936, 3.7587, 89.6861, 6.6511, 2.4065, 114.54, 86.39
40.637, 3.9386, 105.0788, 6.5582, 2.5163, 115.65, 86.94
41.273, 4.6083, 81.1908, 6.1593, 2.7685, 115.37, 85.99
41.905, 4.1608, 100.3344, 6.3211, 2.4509, 114.63, 86.01
42.612, 3.6520, 94.0439, 5.5568, 2.1372, 115.37, 85.94
43.341, 3.0112, 94.6372, 4.2390, 2.0424, 117.98, 86.26
44.440, 3.0746, 81.8554, 4.8584, 2.6440, 121.40, 88.74
45.119, 4.6532, 119.7605, 5.2577, 3.0733, 121.40, 88.74
45.746, 2.9569, 99.8336, 6.7976, 2.2461, 116.31, 87.98
46.421, 4.4185, 89.5522, 6.0190, 2.6508, 116.40, 86.67
48.221, 3.0622, 113.8520, 6.9631, 2.6778, 119.72, 90.10
48.820, 4.3546, 89.9550, 6.2732, 2.7521, 117.73, 87.80
49.491, 3.3045, 99.1736, 6.9010, 2.5198, 119.15, 89.81
50.729, 2.7860, 89.9550, 4.1136, 2.4456, 123.85, 89.78
51.327, 4.1551, 105.0788, 4.8418, 2.7633, 119.91, 87.57
51.992, 4.4004, 90.7716, 5.8388, 2.3931, 115.06, 85.80
53.872, 4.6334, 106.3830, 6.0632, 2.8525, 117.33, 87.16
54.437, 2.4204, 85.2273, 7.5895, 2.6088, 121.67, 92.31
55.105, 2.6129, 98.6842, 7.6941, 2.9985, 125.59, 94.76
55.738, 1.7834, 106.1947, 7.7446, 2.4301, 122.00, 92.92
56.339, 4.5252, 90.7716, 5.9351, 2.9706, 119.54, 88.43
56.906, 2.2892, 93.1677, 7.7881, 2.9409, 125.28, 94.72
58.211, 2.6195, 96.7742, 6.6577, 2.6133, 123.90, 92.74
58.810, 4.4058, 94.4882, 5.5975, 3.0816, 122.97, 90.30
