経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.022, 9.6519, 73.9583, -0.4765, -0.5162, 92.23, 66.60
0.286, 6.4657, 78.4176, -0.6426, -0.8261, 91.09, 65.87
1.121, 8.5421, 77.2134, -0.3764, -0.5437, 92.01, 66.43
4.294, 9.2125, 74.4386, -0.5138, -0.4347, 92.04, 66.48
6.050, 9.3217, 77.9204, -0.5845, -0.5395, 92.45, 66.69
6.836, 9.1952, 73.9820, -0.4261, -0.4648, 92.00, 66.46
9.276, 9.3576, 75.0465, -0.5444, -0.5013, 92.18, 66.56
10.043, 9.1489, 74.7429, -0.5323, -0.4901, 92.04, 66.48
10.844, 9.3894, 76.3965, -0.6016, -0.4284, 92.32, 66.63
11.681, 9.0565, 75.6918, -0.5363, -0.4950, 92.09, 66.50
12.511, 9.2943, 73.5886, -0.5119, -0.3938, 91.99, 66.46
13.314, 9.2182, 72.9774, -0.5175, -0.4777, 91.90, 66.41
14.084, 9.4569, 73.8383, -0.5342, -0.4521, 92.10, 66.52
16.560, 9.2462, 75.7774, -0.6420, -0.4280, 92.18, 66.55
17.394, 9.7103, 71.9083, -0.5644, -0.4139, 92.03, 66.50
19.031, 8.9095, 71.9253, -0.4748, -0.4748, 91.65, 66.27
20.599, 9.1099, 69.1962, -0.5133, -0.8067, 91.50, 66.21
21.368, 9.4012, 68.9616, -0.4914, -0.3780, 91.59, 66.26
22.201, 9.2328, 73.2132, -0.6008, -0.4291, 91.92, 66.42
23.044, 9.4357, 72.6162, -0.5546, -0.4358, 91.97, 66.46
23.813, 6.5144, 71.9311, -0.4311, -0.7447, 90.48, 65.57
24.546, 9.3765, 74.8535, -0.5150, -0.5150, 92.17, 66.56
25.346, 9.3526, 78.1980, -0.6289, -0.4502, 92.48, 66.71
26.179, 9.5365, 76.5656, -0.5775, -0.4125, 92.41, 66.68
27.653, 9.3245, 74.2280, -0.5150, -0.3565, 92.07, 66.50
28.449, 9.3768, 76.1266, -0.5586, -0.4297, 92.29, 66.61
30.018, 9.0744, 75.7021, -0.5784, -0.3726, 92.09, 66.50
30.831, 9.1653, 72.4384, -0.4583, -0.5347, 91.83, 66.38
31.591, 9.3664, 73.1578, -0.5283, -0.4877, 91.99, 66.47
33.997, 8.8088, 75.9424, -0.5211, -0.3474, 91.98, 66.43
34.802, 9.4337, 74.0708, -0.5566, -0.4373, 92.11, 66.53
35.605, 9.3375, 74.3017, -0.5739, -0.4099, 92.08, 66.51
36.439, 9.3531, 74.4639, -0.3694, -0.5746, 92.14, 66.54
37.941, 8.9034, 73.1815, -0.3561, -0.5540, 91.79, 66.34
39.639, 9.3686, 73.9882, -0.5349, -0.4938, 92.08, 66.51
40.444, 9.6570, 74.8158, -0.5410, -0.4578, 92.30, 66.63
41.316, 9.3013, 74.7212, -0.5746, -0.4515, 92.11, 66.52
42.152, 9.3830, 71.6424, -0.4920, -0.4163, 91.85, 66.39
42.925, 9.3308, 71.7063, -0.4737, -0.4737, 91.84, 66.38
43.686, 9.2856, 74.4996, -0.5969, -0.4690, 92.08, 66.50
45.332, 9.4339, 76.6590, -0.5645, -0.5211, 92.38, 66.66
46.121, 9.1688, 78.4988, -0.6635, -0.3981, 92.41, 66.66
46.965, 9.3266, 77.2030, -0.6684, -0.3759, 92.35, 66.64
47.792, 9.2785, 74.0662, -0.5089, -0.3523, 92.03, 66.48
48.599, 9.4502, 73.2562, -0.5169, -0.4783, 92.05, 66.50
49.480, 9.5754, 73.8442, -0.5732, -0.4504, 92.16, 66.56
51.039, 9.0614, 70.9001, -0.5250, -0.3750, 91.61, 66.26
51.839, 9.4039, 69.9194, -0.4931, -0.4552, 91.69, 66.32
52.639, 9.0292, 72.4143, -0.5369, -0.4543, 91.75, 66.33
53.441, 8.9624, 73.6845, -0.5775, -0.4538, 91.84, 66.37
54.310, 9.6185, 74.2444, -0.6172, -0.4115, 92.21, 66.59
56.712, 9.4755, 71.5077, -0.4931, -0.5690, 91.90, 66.42
57.584, 9.4958, 71.9394, -0.4777, -0.4777, 91.94, 66.45
58.352, 9.5190, 70.3798, -0.4168, -0.4546, 91.80, 66.38
59.155, 9.5635, 74.0504, -0.5586, -0.5156, 92.18, 66.57
60.024, 9.5913, 74.3836, -0.6986, -0.4521, 92.21, 66.58
